mne_group,year,shifted_bn,eu_out_bn,total_profit_bn,shifted_pct_of_profit,eu_out_pct_of_profit
US,2016,284.87277434307987,12.279428902702705,765.4337343561044,37.21717002487741,1.604244541564707
US,2017,408.9270094564775,26.73574682220462,1297.0624179333684,31.527165061803874,2.0612536800505827
US,2018,235.6748267794831,14.24595431082346,840.2225110706871,28.049096956372313,1.6954978143432486
US,2019,317.1621575115303,32.13447251098088,882.9778443651602,35.91960540522535,3.6393294255400925
US,2020,462.85881997477156,70.02970791033059,1663.4160252059507,27.825800218406822,4.209993582432878
US,2021,365.0361017508339,142.72110141301164,2479.196016958247,14.723970966954873,5.75674938313743
US,2022,389.36361888666517,60.935942225707365,2085.007110069494,18.674450413441875,2.9225771908123783
EU,2016,150.02394588248023,68.0932689251983,644.3043676935463,23.284638969549384,10.568494075083757
EU,2017,323.3476007537086,166.37786270810392,1377.2918038810476,23.47705837227469,12.080073535562365
EU,2018,309.2636360861659,169.52004362827847,1447.1005407957934,21.371261178307265,11.714462046642284
EU,2019,367.14131657411883,195.78402774920886,1345.2833603607642,27.291002579238228,14.553367232365495
EU,2020,159.95450806937944,83.2941192179626,669.0333844021444,23.90829991425862,12.449919714005773
EU,2021,214.3036762702069,131.02425574380484,1235.1957461377463,17.349774474232056,10.607570189056764
EU,2022,180.12130761737265,114.82976737921379,1195.8983176702543,15.061590517851837,9.60196746517005
All,2016,562.5911536318253,93.26385264736054,3029.359214196067,18.57129227182541,3.07866601657245
All,2017,1051.7213178376603,242.51184920868977,5546.528707867926,18.96179346094,4.372317569810449
All,2018,856.3439516081415,264.5203749778646,5742.561593561479,14.912229284023153,4.60631323962538
All,2019,1036.2426140056564,304.9043676916595,5971.0708750336635,17.354384761005107,5.106359882052824
All,2020,915.4864847595886,224.26924500051254,4785.23569381063,19.131481568268555,4.686691719084792
All,2021,1154.977169406344,395.8440355232935,8083.652088520149,14.287813933092986,4.896846514280893
All,2022,961.5997407780295,251.74768263701026,7505.577643935528,12.811801921135247,3.3541413410121903
