iso3	year	resource_revenue	resource_taxes	total_taxes_revenue	cit_revenue	greenfieldfdi_outward	greenfieldfdi_inward	ip_payments	ip_receipts	fdi_inflows_wdi	external_debt_stocks	new_businesses_registered	imports	exports	gdp_pc	gdp_deflator	govt_exp_gdp	govt_exp_educ_gdp	physicians_per_1000	nurses_per_1000	health_exp_gdp	population	month_wage	who_gvt_health_expenditure	gdp	cthi_2021_rank	cthi_2021_share	cthi_2021_score	fsi_2022_rank	fsi_2022_score	region	region_tjn	eu28	oecd	g20	ukt	oecd_oct	physicians	nurses	resource_revenue_gdp	cit
ARM	2017.5		0.0		295927883.1687707	2700000.0	401770000.0	0.0	0.0	257282327.97422716	10575595866.511112	4563.5	5629051229.689357	4085579558.0990787	4214.587324410032	111.06148027045988	291589194977.92596	317542822.5172921	2.9088499999999997	5.02835	1287426835.4421892	2843238.3	261.455	177387794.0368069	12179966083.51938						Asia	Asia	0.0	0.0	0.0	0.0	0.0	8270.553728955	14296.797305804997		0.2
ASM	2017.5												663000000.0	411222222.2222222	13471.274423488345	105.10556793433034						48849.5	1252.2337196495585		665700000.0				135.0	69.3	Oceania	Oceania	0.0	0.0	0.0	0.0	1.0				0.27
ATF	2017.5																														Africa	Africa	0.0	0.0	0.0	0.0	0.0				
ATG	2017.5			234236449.7375379	21500980.2629549	4250000.0	327212500.0	3163359.6434156364	0.0	133103342.0632577		273.375	938527569.4444442	983082907.4074078	15622.856462285401	121.88935415833187		40920050.6001812	2.7673	6.363079999999999	74064776.57522412	91220.2	1375.8958073486656	43366088.711951435	1427844814.814815				127.0	76.975	Americas	Caribbean/American isl.	0.0	0.0	0.0	0.0	0.0	252.43365946	580.441430216		0.25
AUS	2017.5			402987502691.24774	69496161186.70671	9843824271.25	17171498278.749989	3656931609.387857	909429887.3817725	43941219861.23928		231605.625	292114751034.2745	302203742507.2148	57278.54752221712	91.9670410044272	39068652991237.41	75318139263.88165	3.75154	12.65768	141716221863.73938	24654322.6	4911.0	88440942941.3947	1418034497033.623				37.0	56.15	Oceania	Oceania	0.0	1.0	1.0	0.0	0.0	92491.677406804	312066.52608756797		0.300000011920929
AUT	2017.5	0.0	0.0	121428064950.12332	10423598156.341785	5290738533.75	2085724972.5000005	1726091647.4225044	1323284212.4445846	-6841432453.947857		2995.5	220050473296.27444	232817768996.24878	49270.44009345546	103.2910157332011	20242459009880.574	23349723622.794754	5.17716	7.037011111111111	46652393898.38821	8775201.1	3387.44125	32729193551.52256	436341984438.283	33.0	0.0068456020510397	55.68305887571752	44.0	54.625	Europe	Europe	1.0	1.0	0.0	0.0	0.0	45430.620126876	61751.18764293444	0.0	0.25
AZE	2017.5	12382071332.92114	1735502534.537114	7398269930.53906	1873762895.7801747	2843845750.0	587291250.0			2241231977.7777777	14265707403.511112	9240.375	17621759623.666744	23973172701.283176	5384.301442335116	235.43762849277624	1349481379533.4907	1510854252.427431	3.27543	6.4753799999999995	2016639093.9033988	9854574.1	413.89000000000004	580509417.9939659	52844070798.90047						Asia	Asia	0.0	0.0	0.0	0.0	0.0	32277.967644363	63812.11203565799	0.23431335144564178	0.2
BDI	2017.5		0.0	370236446.72278136		4912500.0	139212500.0	72957.82189440058	16543.496943204056	29652196.75137432	671112640.2888889		628745456.3786969	170386764.7177009	240.07235535600753	295.6146160636721		149063695.21906692	0.0754	0.71871	192561964.50036427	11412152.1	45.24220482106132	54582078.63321668	2705898028.403834						Africa	Africa	0.0	0.0	0.0	0.0	0.0	860.4762683399999	8202.027835791		0.3
BEL	2017.5	0.0	0.0	160039517938.1243	18874023040.08172	6114486968.75	5239769682.500002	3329773958.5806646	3679448158.8611712	-11933621359.141558		24728.25	420072702469.903	424827945463.5455	45854.43299262159	103.96619519475964	22247427732146.766	34384708994.54561	3.0796	11.632633333333334	56829771166.833664	11398978.2	4179.1525	41780483182.72882	529089437760.85	16.0	0.0219792913683246	72.78172411353997	26.0	52.525	Europe	Europe	1.0	1.0	0.0	0.0	0.0	35104.29326472	132600.13377526	0.0	0.2958000004291534
BEN	2017.5		0.0	1462393396.0289145	144108686.3328942		316963750.0	931946.6826942532	136376.4948528039	242312969.84494823	3438213748.2444444	2725.125	4419364035.724423	3700404722.7014422	1175.006183780359	100.72414974103312		438420065.57085747	0.060939999999999994	0.485	362602896.6546152	11758126.1	161.39149780573143	88984540.3455232	14030873317.5687						Africa	Africa	0.0	0.0	0.0	0.0	0.0	716.5402045339999	5702.6911585		0.3
BES	2017.5																														Americas	Caribbean/American isl.	0.0	0.0	0.0	0.0	1.0				0.25
BFA	2017.5			2289938296.261514	412678332.1239239	20012500.0	248795862.5	395464.9132834226	784260.3466822426	191716329.90036213	10520695872.866667	3178.0	4605858984.059335	3781656561.0877385	757.3848827401383	105.70325460280267	245831673441.08557	759059635.2519974	0.07719000000000001	0.77641	870778891.6726089	20070397.9	192.68	350153196.72675574	15563686117.06453						Africa	Africa	0.0	0.0	0.0	0.0	0.0	1549.2340139010003	15582.857633539		0.2750000059604645
BGD	2017.5		0.0	25500645142.845997	5608002408.433158	218024676.24999997	3112670000.0000005	41436081.57982447	2386552.731860638	2125067154.9415329	53718305679.566666	6940.25	54231275441.569046	37855254440.841736	1730.0650771595658	99.73546296703906	2488261827938.1445	6064176094.206452	0.56562	0.35763	8060371649.234302	162473360.3	155.715	1261337958.555683	295599499711.1708				52.0	74.625	Asia	Asia	0.0	0.0	0.0	0.0	0.0	91898.18205288601	58105.347844089		0.25
BGR	2017.5	0.0	0.0	13649408721.74301	1380455604.8145123	244213435.0	1706572585.0	223913333.33333334	90146666.66666667	2061645555.5555556	43615879223.37778	8253.875	38516397996.89681	39785037298.34092	8919.059395448176	110.30995779161749	2230145972759.9717	2587530235.47569	4.1348666666666665	4.71148888888889	4886870322.896174	7056111.2	567.745	2722493660.9461937	65045980426.425354	48.0	0.0038164213640675	58.37707867180929	106.0	52.775	Europe	Europe	1.0	0.0	0.0	0.0	0.0	29176.078997173332	33244.78951756445	0.0	0.1000000014901161
BHR	2017.5	7514524381.067133		451498262.070189	32870435.371331763	875856250.0	1491882500.0			1163687943.2624083		2778.1666666666665	24712466755.31915	28443816489.361713	24735.319821481222	108.89579412969879		858678772.4653836	0.9356166666666667	2.4956833333333335	1585942496.2108397	1418697.1	1858.6414816422302	1005979246.6326257	35360257606.38297				60.0	68.2	Asia	Asia	0.0	0.0	0.0	0.0	0.0	1327.3566517116667	3540.6187075183334	0.2125132815692685	0.0
BHS	2017.5		0.0	1565198691.3938007	0.0	129250000.0	43662500.0	14200472.196777778	0.0	355099059.73807645			4608288888.888889	3946977777.7777777	29207.044278024397	110.95807313072478	226428658674.7468	282121399.18382967	1.9848750000000002	4.453033333333334	696559238.087754	399122.0	2160.1680885107976	329833157.8154927	11585830000.0	12.0	0.0328469236897001	100.0	22.0	75.475	Americas	Caribbean/American isl.	0.0	0.0	0.0	0.0	0.0	792.2072797500001	1777.303570066667		0.0
BIH	2017.5	0.0	0.0	4402163518.95307	289827893.45185226	17615000.0	1013098750.0	10880721.94383483	13915605.260178834	483001275.95782566	12847383764.155556	2503.2	10390645220.51963	7269131553.34073	5559.9183220695895	104.3074306213021	709922229527.4861		2.13575	5.798077777777777	1810174978.9699354	3425509.7	555.5933333333334	1258252469.4664304	19500902273.808968						Europe	Europe	0.0	0.0	0.0	0.0	0.0	7316.0323417750005	19861.371669132222	0.0	0.1
BLM	2017.5																														Americas	Caribbean/American isl.	0.0	0.0	0.0	0.0					
BLR	2017.5	0.0	0.0	15521387737.284546	1855958693.5821216	280102500.0	718682331.25	179428488.8888889	63038056.666666664	1522034760.524	39765901978.5	7623.25	39346708401.26704	39704604375.82056	6686.085029404039	142.10268085178825	1820574061257.5234	3133238666.2932105	4.65512	10.974416666666668	3702681441.6920514	9420029.3	499.99749999999995	2412243211.6955976	63546860897.56504						Europe	Europe	0.0	0.0	0.0	0.0	0.0	43851.36679501601	103379.32655040837	0.0	0.18
BLZ	2017.5		0.0	592304692.7437876	109343388.74706952	19437500.0	48800000.0	5302138.312080403	0.0	86581134.11475314	1349636608.811111	726.5	1110000000.0	1110555555.5555556	6012.563787175948	103.29150575586456	46367469479.542366	165330769.02574962	1.1054000000000002	2.2195222222222224	137138540.008385	376504.4	603.7342857142858	88779222.92538822	2271700000.0				115.0	75.1	Americas	Caribbean/American isl.	0.0	0.0	0.0	0.0	0.0	416.18796376000006	835.6598825644446		0.25
