iso3_o	iso3_d	emp	pi	txc	revt	t_at
LUX	BRA	141797.0	1632827615.466	176883373.444	13256029584.886	12661837854.373
LUX	CAN	20452.0	1826402396.518	357286397.257	8534450802.109	7971728971.312
LUX	CHE	8257.0	2671167395.6415	89362533.032	109412597888.35	4439542721.943
LUX	CHL	11615.0	23785811.029	2898477.324	675435659.811	273490915.39
LUX	CHN	30502.0	374946506.607	39263016.837	5961281278.269	1943966670.529
LUX	CIV	1845.0	14984123.89	876101.666	36407636.922	97944377.177
LUX	COL	26933.0	82453983.598	32536887.436	2821222189.291	1994545253.408
LUX	CRI	2102.0	-14219007.878	-2903238.339	334400970.879	192739785.698
LUX	CYM	40.0	5376976.5222000005	1969.564	78188387.0	273107.479
LUX	CYP	72.0	120199513.59629999	7594886.56	113943581.007	62574556.054
LUX	CZE	14930.0	-232520630.473	-5762787.299	6591542810.608	1776404336.928
LUX	DEU	137779.0	-3711329680.279	582877329.269	52663148906.148	27142770660.597
LUX	DNK	7938.0	73871789.113	25046827.895	2684328421.549	1625508255.078
LUX	DOM	3409.0	65746614.234	55830842.987	833286206.146	424448455.05
LUX	DZA	538.0	-1069883.428	-728107.542	11473876.55	4546028.91
LUX	ECU	3692.0	77924803.862	18359844.379	495361995.659	209307628.253
LUX	EGY	2280.0	7953744.015	-1381147.877	177652034.872	30364507.932
LUX	ESP	65926.0	1693570485.368	62605433.626	13597199095.682	8966109622.446
LUX	EST	1036.0	14604959.951	532227.875	160549709.752	103689910.589
LUX	FIN	13636.0	714942088.907	148372207.594	3353096275.886	502124280.898
LUX	FJT	1790109.0	39815673196.33925	4079657138.475	695465560726.99	261808062845.65
LUX	FRA	205680.0	838608456.773	214120317.674	48210583733.412	28367096141.48
LUX	GBR	95033.0	28718705.248	158334112.828	23238670537.628	8220442123.974
LUX	GHA	355.0	46912524.361	2732482.936	100640313.958	1737476337.592
LUX	GRC	1415.0	12543343.37	6611987.726	657759978.207	277062902.677
LUX	GTM	4897.0	416349112.541	-83754581.0	1466234514.589	656807469.189
LUX	HKG	1708.0	310484901.88710004	19339625.159	3384046047.359	233910853.395
LUX	HRV	1991.0	50989269.13	8769856.329	532732930.607	330456282.743
LUX	HUN	5915.0	121478237.50770001	6430608.73	1223186118.881	516193547.927
LUX	IDN	8527.0	4094701.055	2893892.511	662613585.06	512546262.29
LUX	IND	47410.0	530723312.781	135584549.715	6527705230.101	2744214737.226
LUX	IRL	2267.0	-1175923210.949	34292799.206	1321696319.949	466275199.206
LUX	ISR	4429.0	-105782959.937	50412470.261	1668169751.819	1214756167.377
LUX	ITA	77649.0	2124893862.484	425109917.059	28416830647.493	15648516058.816
LUX	JEY	73.0	1388681811.2691	0.0	31417018.393	79863282.226
LUX	JPN	5305.0	127718382.099	27565127.246	1990715847.261	393593414.701
LUX	KAZ	97583.0	1454763123.949	-206164589.663	4893921131.279	6021088531.667
LUX	KEN	89.0	-514411.137	301149.213	31405039.852	5070848.489
LUX	KOR	1733.0	140831961.144	38129376.291	1080441534.278	313548287.886
LUX	LTU	1019.0	15362616.74	1883346.619	135520596.378	113325650.786
LUX	LUX	21721.0	6801709591.172	172898461.854	33910510553.204	35735960835.718
LUX	LVA	1374.0	30399593.121	-828180.186	40264490.429	88280744.335
LUX	MAR	31780.0	25945688.432	9550285.729	554920574.06	320099895.845
LUX	MEX	56720.0	2120156260.761	470982383.577	11315740128.451	10496100189.595
LUX	MLT	69.0	561995209.9503001	7447793.591	78762446.63	41747850.897
LUX	MOZ	70.0	-11644808.74	-492.0	1104008.0	26643865.0
LUX	MUS	2178.0	15149474.772300001	2020708.804	257028387.724	330555495.746
LUX	MYS	3854.0	-60114593.528	6891489.136	2255961191.84	1176726633.878
LUX	NGA	1903.0	19494255.71	-4092508.909	338025415.143	102240557.741
LUX	NLD	23475.0	9856573721.268301	61152354.289	15116151410.744	7084848880.871
LUX	NOR	3974.0	80084818.225	16256881.137	1644304941.57	482771911.447
LUX	NZL	1423.0	13413038.279	4098053.967	269093619.176	80062740.827
LUX	OAF	11933.0	-393046643.053	-32800149.508	914334795.742	4930156322.614
LUX	OAM	17090.0	759760991.1520499	-155646719.663	2779769644.579	1963778825.035
LUX	OAS	4246.0	54756237.134399995	16678490.009	12631366857.159	615350755.166
LUX	OTE	3425.0	42750924.765149996	8305208.064	456353066.762	1792376816.231
LUX	PAN	5981.0	265768165.331	10668899.565	575093997.513	1263676967.747
LUX	PER	17494.0	163634531.25	39943321.964	698482708.583	454457778.693
LUX	PHL	24578.0	18202157.231	4736442.815	135578145.587	135431608.509
LUX	POL	36325.0	740538284.927	88257885.548	9571293260.362	5837727387.499
LUX	PRI	626.0	15114284.857800001	1004718.649	168507734.174	41684912.592
LUX	PRT	21576.0	649838362.087	12347362.66	4454077793.279	3548338046.991
LUX	QAT	216.0	2706167.963	94174.0	52237017.082	23867046.267
LUX	ROU	27456.0	242059176.99	25014501.617	2963943843.257	1957344633.901
LUX	RUS	71489.0	2942884864.225	453833953.228	11761386752.907	3412254743.901
LUX	SAU	1054.0	-3436777.463	1245573.863	323108163.226	192171966.595
LUX	SEN	752.0	-3135088.581	1446444.187	93667776.802	45007146.908
LUX	SGP	6665.0	405279405.3654	911400.38	49830715247.793	1456116438.164
LUX	SRB	4345.0	38363126.575	-2340251.195	320255143.142	220314513.104
LUX	STA	4467.0	1929869270.964	11733920.934	12516549.158	384153214.767
LUX	SVK	6302.0	1109543630.629	-316841891.328	2889703558.393	7103064194.697
LUX	SVN	918.0	30455911.056	4603858.787	260994464.661	206611375.505
LUX	SWE	11773.0	1103448686.091	75469306.042	8607575958.934	5766325576.981
LUX	THA	4342.0	-2810589.92	19460635.127	853217295.208	787680975.842
LUX	TUN	1790.0	11426744.488	820471.892	68722966.044	11702146.79
LUX	TUR	12635.0	152313410.886	41973517.93	2581691799.543	967063612.781
LUX	TWN	1784.0	81794304.63	-2769667.365	468587534.285	113900508.004
LUX	UKR	51467.0	467980041.037	92331731.197	2087935598.017	4024870511.868
LUX	URY	1848.0	132701554.655	7575442.353	2010720042.419	1013428569.589
