region_tjn,revenue_gain_from_ut,overstated_revenue_musd,revenue_gain_loss_consolidated_musd
Africa,50.56737087847725,13.222745457160205,37.34462542131704
Asia,41.272412939828605,4.525037637989584,36.74737530183902
Latin America,80.44167596410949,7.216830884172891,73.22484507993661
Caribbean/American isl.,-1.3859810407140354,1.453338303650808,-2.8393193443648435
Northern America,40.720810934335226,2.7213347237687806,37.99947621056644
Europe,146.97910679496187,22.91271103106244,124.06639576389944
Oceania,-7.19398677075005,1.7248081303361518,-8.918794901086203
