mne_group,year,shifted_bn,total_profit_bn,shifted_pct_of_profit
US,2016,270.5105524556471,726.8434227396315,37.217170024877404
US,2017,402.6371658814009,1277.1118655676662,31.52716506180387
US,2018,246.87664500164902,880.1589776157215,28.049096956372313
US,2019,318.5839563614707,886.936125181167,35.91960540522535
US,2020,475.71908281517005,1709.6330710391603,27.82580021840683
US,2021,398.46146999048534,2706.209288817233,14.723970966954875
US,2022,409.9998906876585,2195.5124869031774,18.67445041344188
EU,2016,142.46029855197946,611.8209465832075,23.284638969549388
EU,2017,318.3740827857457,1356.1072164037835,23.47705837227469
EU,2018,323.96319089863135,1515.8824188975225,21.371261178307268
EU,2019,368.7871658323226,1351.3140998084086,27.291002579238228
EU,2020,164.39875095188722,687.6220874820204,23.90829991425862
EU,2021,233.92688411207718,1348.2992788148695,17.34977447423206
EU,2022,189.66773692109342,1259.2809285067776,15.061590517851839
