year,commodity,royalties_usd_bn,special_participation_usd_bn,signature_bonus_usd_bn,other_anp_usd_bn,petrobras_dividend_usd_bn,total_pre_profit_usd_bn,total_post_profit_usd_bn,total_equity_usd_bn,total_resource_revenue_usd_bn,confidence,source_note
2016,oil_gas,3.3922,1.6936,0.0013,0.0,0.0,5.0872,,0.0,5.0872,medium,"ANP Valores Consolidados 2016 (royalty + participacao especial + bonus + taxa de ocupacao); FX BRL/USD=3.49. PSC profit-oil (excedente em oleo / cessao onerosa) NOT included in ANP table — reported separately by PPSA. Petrobras-to-Union dividends estimated from Petrobras annual reports & Tesouro Nacional disclosures, applying Union voting share ~50%."
2017,oil_gas,4.7969,4.7548,0.0,0.0773,0.0,9.629,,0.0,9.629,medium,"ANP Valores Consolidados 2017 (royalty + participacao especial + bonus + taxa de ocupacao); FX BRL/USD=3.19. PSC profit-oil (excedente em oleo / cessao onerosa) NOT included in ANP table — reported separately by PPSA. Petrobras-to-Union dividends estimated from Petrobras annual reports & Tesouro Nacional disclosures, applying Union voting share ~50%."
2018,oil_gas,6.4046,8.1169,4.9273,0.0707,0.1644,19.5195,,0.1644,19.6839,medium,"ANP Valores Consolidados 2018 (royalty + participacao especial + bonus + taxa de ocupacao); FX BRL/USD=3.65. PSC profit-oil (excedente em oleo / cessao onerosa) NOT included in ANP table — reported separately by PPSA. Petrobras-to-Union dividends estimated from Petrobras annual reports & Tesouro Nacional disclosures, applying Union voting share ~50%."
2019,oil_gas,5.938,8.2328,17.7114,0.0691,1.9241,31.9513,,1.9241,33.8754,medium,"ANP Valores Consolidados 2019 (royalty + participacao especial + bonus + taxa de ocupacao); FX BRL/USD=3.95. PSC profit-oil (excedente em oleo / cessao onerosa) NOT included in ANP table — reported separately by PPSA. Petrobras-to-Union dividends estimated from Petrobras annual reports & Tesouro Nacional disclosures, applying Union voting share ~50%."
2020,oil_gas,4.4309,4.6384,0.0025,0.0574,0.5825,9.1293,,0.5825,9.7118,medium,"ANP Valores Consolidados 2020 (royalty + participacao especial + bonus + taxa de ocupacao); FX BRL/USD=5.15. PSC profit-oil (excedente em oleo / cessao onerosa) NOT included in ANP table — reported separately by PPSA. Petrobras-to-Union dividends estimated from Petrobras annual reports & Tesouro Nacional disclosures, applying Union voting share ~50%."
2021,oil_gas,7.0033,7.3453,0.0112,0.058,5.3704,14.4178,,5.3704,19.7882,medium,"ANP Valores Consolidados 2021 (royalty + participacao especial + bonus + taxa de ocupacao); FX BRL/USD=5.4. PSC profit-oil (excedente em oleo / cessao onerosa) NOT included in ANP table — reported separately by PPSA. Petrobras-to-Union dividends estimated from Petrobras annual reports & Tesouro Nacional disclosures, applying Union voting share ~50%."
2022,oil_gas,11.4589,11.3979,2.2479,0.0747,11.9961,25.1793,,11.9961,37.1755,medium,"ANP Valores Consolidados 2022 (royalty + participacao especial + bonus + taxa de ocupacao); FX BRL/USD=5.16. PSC profit-oil (excedente em oleo / cessao onerosa) NOT included in ANP table — reported separately by PPSA. Petrobras-to-Union dividends estimated from Petrobras annual reports & Tesouro Nacional disclosures, applying Union voting share ~50%."
