iso_partner,partner_jurisdiction,net_bn,reported_bn,etr,etr_pct,role
NLD,Netherlands,215.00436393201508,460.3564697343816,0.04952301923801687,4.952301923801687,winner_haven
SWE,Sweden,102.91159030607965,368.6490401048522,0.12548240201945504,12.548240201945504,winner_haven
LUX,Luxembourg,98.91613691249312,71.00863286993616,0.037653624470707005,3.7653624470707006,winner_haven
DNK,Denmark,98.22596145503232,266.3115362050201,0.1349932595377368,13.499325953773681,winner_haven
MLT,Malta,20.968356420995434,36.46430178733001,0.018512982759752886,1.8512982759752887,winner_haven
FIN,Finland,17.241637901635162,98.39640021509275,0.16226126798768895,16.226126798768895,winner_haven
AUT,Austria,13.547429729709616,158.16408741944713,0.14662865219818438,14.662865219818439,winner_haven
IRL,Ireland,8.058486375202646,54.905795230309074,0.07583998932346234,7.583998932346233,winner_haven
PRT,Portugal,2.777814944774666,65.7125329054086,0.1736887034108968,17.36887034108968,winner_haven
SVK,Slovak Republic,2.192667194599567,39.773228397628614,0.19926407335601834,19.926407335601834,winner_haven
BGR,Bulgaria,0.6864115788467979,17.023258161320552,0.09169603312966636,9.169603312966636,winner_haven
LVA,Latvia,-1.3143534870771183,30.73853800912864,0.054385791991457315,5.438579199145732,loser_victim
SVN,Slovenia,-1.456340152613978,9.599733306638516,0.14969220082288442,14.969220082288443,loser_victim
LTU,Lithuania,-2.2101974384174636,7.144229698777839,0.12039932174166154,12.039932174166154,loser_victim
HUN,Hungary,-3.180771810553085,39.33596588251597,0.09972976605830626,9.972976605830626,loser_victim
GRC,Greece,-3.991052103537796,14.637513677838179,0.21436591441981734,21.436591441981733,loser_victim
HRV,Croatia,-5.505822562999688,46.03965955991954,0.16400934559194452,16.400934559194454,loser_victim
CZE,Czechia,-7.06010106365949,78.79956850176387,0.16165210946045017,16.165210946045015,loser_victim
EST,Estonia,-11.701276713177233,4.579895833008206,0.021525131716385332,2.152513171638533,loser_victim
CYP,Cyprus,-13.210045463173268,6.350371022265167,0.05467674788439823,5.467674788439823,loser_victim
ROU,Romania,-19.95523657644466,45.36670661211763,0.13665231587472063,13.665231587472062,loser_victim
ESP,Spain,-26.058878909966772,316.50478892205643,0.17075377830146246,17.075377830146245,loser_victim
POL,Poland,-37.87853692807448,115.88911505020285,0.18696311399957044,18.696311399957043,loser_victim
ITA,Italy,-42.132970079072344,410.8581484095159,0.21094098833978212,21.09409883397821,loser_victim
DEU,Germany,-115.65249284681177,1076.5978037108434,0.19265770708791247,19.265770708791248,loser_victim
FRA,France,-125.98004261457037,741.7452064129807,0.21356074439027792,21.356074439027793,loser_victim
BEL,Belgium,-213.5057829081511,152.71181532547863,0.19233344098843433,19.233344098843432,loser_victim
