iso_partner,partner_jurisdiction,year,net_misalignment_musd,net_misalignment_bn,group
BEL,Belgium,2016,-21862.380406383163,-21.862380406383163,benefits_from_ut
BEL,Belgium,2017,-55397.183939178736,-55.39718393917874,benefits_from_ut
BEL,Belgium,2018,-50475.75298426874,-50.475752984268745,benefits_from_ut
BEL,Belgium,2019,-75394.81276072616,-75.39481276072615,benefits_from_ut
BEL,Belgium,2020,-3843.305045499167,-3.843305045499167,benefits_from_ut
BEL,Belgium,2021,-4661.866052584134,-4.661866052584134,benefits_from_ut
BEL,Belgium,2022,-1870.4817195110095,-1.8704817195110095,benefits_from_ut
CYP,Cyprus,2016,-2383.4458998711843,-2.3834458998711843,benefits_from_ut
CYP,Cyprus,2017,-2176.5966089445924,-2.1765966089445925,benefits_from_ut
CYP,Cyprus,2018,-1925.5652652537988,-1.9255652652537987,benefits_from_ut
CYP,Cyprus,2019,-2057.8714554161315,-2.0578714554161315,benefits_from_ut
CYP,Cyprus,2020,-1185.9163620057786,-1.1859163620057787,benefits_from_ut
CYP,Cyprus,2021,-942.5489433416244,-0.9425489433416244,benefits_from_ut
CYP,Cyprus,2022,-2538.100928340158,-2.538100928340158,benefits_from_ut
CZE,Czechia,2016,-315.3220072015121,-0.3153220072015121,benefits_from_ut
CZE,Czechia,2017,-786.9495976156617,-0.7869495976156616,benefits_from_ut
CZE,Czechia,2018,-1615.8296980189011,-1.615829698018901,benefits_from_ut
CZE,Czechia,2019,-1104.8172182175413,-1.1048172182175413,benefits_from_ut
CZE,Czechia,2020,-1090.350111521186,-1.090350111521186,benefits_from_ut
CZE,Czechia,2021,-1621.5460078740675,-1.6215460078740676,benefits_from_ut
CZE,Czechia,2022,-525.2864232106195,-0.5252864232106196,benefits_from_ut
DEU,Germany,2016,-3481.0952612649776,-3.4810952612649775,benefits_from_ut
DEU,Germany,2017,-11669.096317002355,-11.669096317002355,benefits_from_ut
DEU,Germany,2018,-29070.5718261845,-29.070571826184498,benefits_from_ut
DEU,Germany,2019,-22441.708806360657,-22.44170880636066,benefits_from_ut
DEU,Germany,2020,-13502.22479896202,-13.502224798962018,benefits_from_ut
DEU,Germany,2021,-29312.298661615503,-29.312298661615504,benefits_from_ut
DEU,Germany,2022,-6175.497175421759,-6.175497175421759,benefits_from_ut
ESP,Spain,2016,2762.866658846786,2.762866658846786,benefits_from_ut
ESP,Spain,2017,-529.939954942397,-0.529939954942397,benefits_from_ut
ESP,Spain,2018,-4945.672739967368,-4.945672739967368,benefits_from_ut
ESP,Spain,2019,-8896.020432740184,-8.896020432740185,benefits_from_ut
ESP,Spain,2020,-6657.289488944226,-6.657289488944226,benefits_from_ut
ESP,Spain,2021,594.6147344334895,0.5946147344334896,benefits_from_ut
ESP,Spain,2022,-8387.437686652867,-8.387437686652868,benefits_from_ut
EST,Estonia,2016,-2029.4283913427937,-2.0294283913427935,benefits_from_ut
