Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024],2025 [YR2025]
Net official development assistance received (current US$),DT.ODA.ODAT.CD,Dominica,DMA,19639999.3896484,15280782.699585,8565672.87445068,19221054.0771484,26943161.0107422,51389430.9997559,64315681.4575195,79073341.3696289,59520240.7836914,52636611.9384766,..,..
Net official development assistance received (current US$),DT.ODA.ODAT.CD,Dominican Republic,DOM,90910003.6621094,61303333.2824707,176704421.99707,117709709.16748,89296813.9648438,131670410.15625,375460296.630859,449407623.291016,368214508.056641,663396301.269531,..,..
Net official development assistance received (current US$),DT.ODA.ODAT.CD,Ecuador,ECU,144699996.948242,155172897.338867,243713317.871094,211108474.731445,404084747.314453,508138793.945313,345394500.732422,302104675.292969,377580352.783203,554708068.847656,..,..
Net official development assistance received (current US$),DT.ODA.ODAT.CD,"Egypt, Arab Rep.",EGY,6065200195.3125,1370830200.19531,2437345458.98438,33107879.6386719,2080896972.65625,1707596069.33594,1563194946.28906,8092854492.1875,5818904785.15625,480069641.113281,..,..
Net official development assistance received (current US$),DT.ODA.ODAT.CD,El Salvador,SLV,328480010.986328,192445007.324219,128970046.99707,151618194.580078,253461120.605469,303699066.162109,344064392.089844,214443862.915039,709233581.542969,498810394.287109,..,..
Net official development assistance received (current US$),DT.ODA.ODAT.CD,Equatorial Guinea,GNQ,60229999.5422363,21270000.4577637,6923532.00912476,6926545.14312744,6723571.77734375,63065559.387207,7397778.98788452,14264043.8079834,12418050.7659912,11663417.8161621,..,..
Net official development assistance received (current US$),DT.ODA.ODAT.CD,Eritrea,ERI,4500000,178017196.655273,66816680.9082031,79190971.3745117,84239532.4707031,266679656.982422,62535846.7102051,45334373.4741211,63487464.9047852,129190628.051758,..,..
Net official development assistance received (current US$),DT.ODA.ODAT.CD,Estonia,EST,..,..,..,..,..,..,..,..,..,..,..,..
Net official development assistance received (current US$),DT.ODA.ODAT.CD,Eswatini,SWZ,53630001.0681152,13134667.3965454,147638656.616211,147611190.795898,121305877.685547,71575668.3349609,106464889.526367,126073486.328125,97627441.40625,110430183.410645,..,..
Net official development assistance received (current US$),DT.ODA.ODAT.CD,Ethiopia,ETH,1009250000,687800659.179688,4084373779.29688,4124747558.59375,4940958496.09375,4677459472.65625,5306338378.90625,4072194580.07813,4930270996.09375,5401845703.125,..,..
Net official development assistance received (current US$),DT.ODA.ODAT.CD,Faroe Islands,FRO,..,..,..,..,..,..,..,..,..,..,..,..
Net official development assistance received (current US$),DT.ODA.ODAT.CD,Fiji,FJI,49220001.2207031,29370382.30896,117417724.609375,145897689.819336,120974807.739258,130198898.31543,196379226.68457,612696960.449219,361043792.724609,190190093.994141,..,..
Net official development assistance received (current US$),DT.ODA.ODAT.CD,Finland,FIN,..,..,..,..,..,..,..,..,..,..,..,..
Net official development assistance received (current US$),DT.ODA.ODAT.CD,France,FRA,..,..,..,..,..,..,..,..,..,..,..,..
Net official development assistance received (current US$),DT.ODA.ODAT.CD,French Polynesia,PYF,259660003.662109,..,..,..,..,..,..,..,..,..,..,..
Net official development assistance received (current US$),DT.ODA.ODAT.CD,Gabon,GAB,131229995.727539,11848133.0871582,41624767.3034668,106349075.317383,116991210.9375,116951629.638672,54557510.3759766,99907051.0864258,134782913.208008,53148811.340332,..,..
Net official development assistance received (current US$),DT.ODA.ODAT.CD,"Gambia, The",GMB,97260002.1362305,49644649.5056152,91942924.4995117,284466461.181641,234128829.956055,190691360.473633,302051361.083984,249042572.021484,272408721.923828,343857177.734375,..,..
Net official development assistance received (current US$),DT.ODA.ODAT.CD,Georgia,GEO,..,171949996.948242,462740814.208984,447435943.603516,589095947.265625,493119354.248047,1041889648.4375,769990661.621094,376801483.154297,365216949.462891,..,..
Net official development assistance received (current US$),DT.ODA.ODAT.CD,Germany,DEU,..,..,..,..,..,..,..,..,..,..,..,..
Net official development assistance received (current US$),DT.ODA.ODAT.CD,Ghana,GHA,559719970.703125,600649291.992188,1318654663.08594,1263540771.48438,1067619384.76563,911422729.492188,2205243408.20313,1239739746.09375,1049816894.53125,1571978515.625,..,..
Net official development assistance received (current US$),DT.ODA.ODAT.CD,Gibraltar,GIB,560000.002384186,..,..,..,..,..,..,..,..,..,..,..
Net official development assistance received (current US$),DT.ODA.ODAT.CD,Greece,GRC,..,..,..,..,..,..,..,..,..,..,..,..
Net official development assistance received (current US$),DT.ODA.ODAT.CD,Greenland,GRL,..,..,..,..,..,..,..,..,..,..,..,..
Net official development assistance received (current US$),DT.ODA.ODAT.CD,Grenada,GRD,13800000.1907349,16871913.9099121,8579892.1585083,5843494.89212036,31736911.7736816,14677843.0938721,69597717.2851563,68142768.8598633,-93638496.3989258,38494625.0915527,..,..
Net official development assistance received (current US$),DT.ODA.ODAT.CD,Guam,GUM,..,..,..,..,..,..,..,..,..,..,..,..
Net official development assistance received (current US$),DT.ODA.ODAT.CD,Guatemala,GTM,185910003.662109,260698547.363281,265446594.238281,367012451.171875,399415863.037109,389408660.888672,474629241.943359,514285827.636719,439355041.503906,447018524.169922,..,..
Net official development assistance received (current US$),DT.ODA.ODAT.CD,Guinea,GIN,291579986.572266,153408828.735352,566984802.246094,472239135.742188,653992248.535156,562773864.746094,727187683.105469,594082946.777344,502325012.207031,531753295.898438,..,..
Net official development assistance received (current US$),DT.ODA.ODAT.CD,Guinea-Bissau,GNB,126349998.474121,81069999.6948242,196816986.083984,113353599.54834,153599090.576172,113485046.386719,148729919.433594,170619369.506836,149706253.051758,188911605.834961,..,..
Net official development assistance received (current US$),DT.ODA.ODAT.CD,Guyana,GUY,164770004.272461,63633098.6022949,70020416.2597656,51128738.4033203,104179985.046387,112507446.289063,53201774.597168,139901382.446289,200485961.914063,139789916.992188,..,..
Net official development assistance received (current US$),DT.ODA.ODAT.CD,Haiti,HTI,155710006.713867,181643997.192383,1071682373.04688,981249511.71875,1017113403.32031,696997558.59375,889003845.214844,952603698.730469,899078552.246094,1077659423.82813,..,..
Net official development assistance received (current US$),DT.ODA.ODAT.CD,Honduras,HND,411049987.792969,399853332.519531,412396209.716797,442227874.755859,664937011.71875,453339874.267578,1184317993.16406,618692199.707031,787478088.378906,550766601.5625,..,..
Net official development assistance received (current US$),DT.ODA.ODAT.CD,"Hong Kong SAR, China",HKG,38159999.8474121,..,..,..,..,..,..,..,..,..,..,..
Net official development assistance received (current US$),DT.ODA.ODAT.CD,Hungary,HUN,..,..,..,..,..,..,..,..,..,..,..,..
Net official development assistance received (current US$),DT.ODA.ODAT.CD,Iceland,ISL,..,..,..,..,..,..,..,..,..,..,..,..
Net official development assistance received (current US$),DT.ODA.ODAT.CD,India,IND,1395000000,1383423095.70313,2679044677.73438,3198135253.90625,2461992431.64063,2551398681.64063,1795723022.46094,3136778564.45313,2818065917.96875,2376562011.71875,..,..
Net official development assistance received (current US$),DT.ODA.ODAT.CD,Indonesia,IDN,1592550048.82813,1645426269.53125,-108278182.983398,280185241.699219,962693420.410156,-693161743.164063,1211180786.13281,626984741.210938,667683776.855469,1155079467.77344,..,..
Net official development assistance received (current US$),DT.ODA.ODAT.CD,"Iran, Islamic Rep.",IRN,106449996.948242,129869995.117188,116192543.029785,140277343.75,166452621.459961,205580688.476563,236513610.839844,304880004.882813,290900268.554688,240743408.203125,..,..
Net official development assistance received (current US$),DT.ODA.ODAT.CD,Iraq,IRQ,63090000.1525879,101830001.831055,2287895507.8125,2907511474.60938,2300608642.57813,2091603759.76563,2360435791.01563,1809198364.25781,1570884521.48438,2007466674.80469,..,..
Net official development assistance received (current US$),DT.ODA.ODAT.CD,Ireland,IRL,..,..,..,..,..,..,..,..,..,..,..,..
Net official development assistance received (current US$),DT.ODA.ODAT.CD,Isle of Man,IMN,..,..,..,..,..,..,..,..,..,..,..,..
Net official development assistance received (current US$),DT.ODA.ODAT.CD,Israel,ISR,1371890014.64844,..,..,..,..,..,..,..,..,..,..,..
Net official development assistance received (current US$),DT.ODA.ODAT.CD,Italy,ITA,..,..,..,..,..,..,..,..,..,..,..,..
Net official development assistance received (current US$),DT.ODA.ODAT.CD,Jamaica,JAM,271579986.572266,14131871.2234497,26846397.3999023,61547187.8051758,100306388.85498,125933029.174805,67849090.5761719,59953330.9936523,96620437.6220703,86414985.6567383,..,..
Net official development assistance received (current US$),DT.ODA.ODAT.CD,Japan,JPN,..,..,..,..,..,..,..,..,..,..,..,..
Net official development assistance received (current US$),DT.ODA.ODAT.CD,Jordan,JOR,951659973.144531,554178955.078125,2727970703.125,2979661621.09375,2526103515.625,2691228271.48438,3116034667.96875,3435530761.71875,1987528320.3125,2834251464.84375,..,..
Net official development assistance received (current US$),DT.ODA.ODAT.CD,Kazakhstan,KAZ,..,184839996.337891,62782726.2878418,59487106.3232422,79985260.0097656,54619979.8583984,75096458.4350586,58528591.1560059,74683914.1845703,79082290.6494141,..,..
Net official development assistance received (current US$),DT.ODA.ODAT.CD,Kenya,KEN,1181290039.0625,513924865.722656,2188385498.04688,2480221923.82813,2491010253.90625,3173125732.42188,3990595703.125,3178648437.5,2639365234.375,2595822998.04688,..,..
Net official development assistance received (current US$),DT.ODA.ODAT.CD,Kiribati,KIR,19280000.6866455,16930530.5480957,60843200.6835938,77150733.9477539,80030273.4375,56659671.7834473,58046539.3066406,72770118.7133789,91053092.956543,98323959.3505859,..,..
Net official development assistance received (current US$),DT.ODA.ODAT.CD,"Korea, Dem. People's Rep.",PRK,7730000.01907349,73550003.0517578,119649452.209473,133115386.962891,120509132.385254,134714950.561523,125573127.746582,20954397.2015381,13594014.1677856,14424407.0053101,..,..
Net official development assistance received (current US$),DT.ODA.ODAT.CD,"Korea, Rep.",KOR,52279998.7792969,..,..,..,..,..,..,..,..,..,..,..
Net official development assistance received (current US$),DT.ODA.ODAT.CD,Kosovo,XKX,..,..,370034088.134766,392374176.025391,345107788.085938,345836334.228516,545129760.742188,454593414.306641,382462890.625,402262634.277344,..,..
Net official development assistance received (current US$),DT.ODA.ODAT.CD,Kuwait,KWT,12859999.6566772,..,..,..,..,..,..,..,..,..,..,..
Net official development assistance received (current US$),DT.ODA.ODAT.CD,Kyrgyz Republic,KGZ,..,193350006.103516,519485229.492188,464969421.386719,438932434.082031,444498474.121094,475085754.394531,453706512.451172,735214660.644531,440522277.832031,..,..
Net official development assistance received (current US$),DT.ODA.ODAT.CD,Lao PDR,LAO,104779998.779297,233608001.708984,399464294.433594,480364410.400391,588737243.652344,622608154.296875,530884277.34375,576953491.210938,547333801.269531,514838562.011719,..,..
Net official development assistance received (current US$),DT.ODA.ODAT.CD,Latvia,LVA,..,..,..,..,..,..,..,..,..,..,..,..
Net official development assistance received (current US$),DT.ODA.ODAT.CD,Lebanon,LBN,285679992.675781,201193161.010742,1129342407.22656,1303035644.53125,1422302124.02344,1237653442.38281,1422794921.875,1405172973.63281,1427493896.48438,1747103271.48438,..,..
Net official development assistance received (current US$),DT.ODA.ODAT.CD,Lesotho,LSO,139130004.882813,37166400.9094238,112066635.131836,145663604.736328,153757339.477539,141216827.392578,172013900.756836,180333953.857422,153728332.519531,172315887.451172,..,..
Net official development assistance received (current US$),DT.ODA.ODAT.CD,Liberia,LBR,113739997.86377,67419998.1689453,819183410.644531,631585205.078125,593953613.28125,582571655.273438,653389709.472656,608156433.105469,485491546.630859,562641967.773438,..,..
Net official development assistance received (current US$),DT.ODA.ODAT.CD,Libya,LBY,8340000.15258789,..,179489471.435547,431871337.890625,303460968.017578,294708984.375,296714996.337891,344516845.703125,264933715.820313,359675231.933594,..,..
Net official development assistance received (current US$),DT.ODA.ODAT.CD,Liechtenstein,LIE,..,..,..,..,..,..,..,..,..,..,..,..
Net official development assistance received (current US$),DT.ODA.ODAT.CD,Lithuania,LTU,..,..,..,..,..,..,..,..,..,..,..,..
Net official development assistance received (current US$),DT.ODA.ODAT.CD,Luxembourg,LUX,..,..,..,..,..,..,..,..,..,..,..,..
Net official development assistance received (current US$),DT.ODA.ODAT.CD,"Macao SAR, China",MAC,230000.004172325,..,..,..,..,..,..,..,..,..,..,..
Net official development assistance received (current US$),DT.ODA.ODAT.CD,Madagascar,MDG,396959991.455078,324480010.986328,621582397.460938,779036132.8125,755010498.046875,733117553.710938,1299780273.4375,1069393676.75781,1004462097.16797,1253593261.71875,..,..
Net official development assistance received (current US$),DT.ODA.ODAT.CD,Malawi,MWI,500359985.351563,448149078.369141,1241607666.01563,1520217773.4375,1279302001.95313,1168642211.91406,1455589965.82031,1185611083.98438,1371369140.625,1731495849.60938,..,..
Net official development assistance received (current US$),DT.ODA.ODAT.CD,Malaysia,MYS,466540008.544922,48647418.9758301,-51818664.5507813,-29250389.0991211,-34465194.7021484,-1948065.04249573,-4258187.77084351,15473509.7885132,5940240.85998535,6578659.05761719,..,..
Net official development assistance received (current US$),DT.ODA.ODAT.CD,Maldives,MDV,15649999.6185303,18144069.6716309,22713554.3823242,46478187.5610352,131431213.378906,71582244.8730469,312050476.074219,113484550.476074,120292236.328125,200507659.912109,..,..
Net official development assistance received (current US$),DT.ODA.ODAT.CD,Mali,MLI,479170013.427734,288035980.224609,1205116943.35938,1360057983.39844,1556926757.8125,1816762207.03125,1567402465.82031,1439193237.30469,1201138916.01563,1292478637.69531,..,..
Net official development assistance received (current US$),DT.ODA.ODAT.CD,Malta,MLT,5309999.94277954,21239999.7711182,..,..,..,..,..,..,..,..,..,..
Net official development assistance received (current US$),DT.ODA.ODAT.CD,Marshall Islands,MHL,..,47459999.0844727,12564118.3853149,72513481.1401367,54400421.1425781,65981147.7661133,183085052.490234,107031799.316406,140286956.787109,126128410.339355,..,..
Net official development assistance received (current US$),DT.ODA.ODAT.CD,Mauritania,MRT,236179992.675781,223631332.397461,307278198.242188,291710205.078125,448410400.390625,397322418.212891,646728454.589844,452874328.613281,327710571.289063,419490051.269531,..,..
Net official development assistance received (current US$),DT.ODA.ODAT.CD,Mauritius,MUS,88290000.9155273,20750766.7541504,42335067.7490234,14627085.68573,69215362.5488281,23158819.1986084,336734924.316406,294674072.265625,77855636.5966797,94860664.3676758,..,..
Net official development assistance received (current US$),DT.ODA.ODAT.CD,Mexico,MEX,178339996.337891,-40460056.3049316,809336181.640625,754608337.402344,549208068.847656,526257812.5,794995605.46875,564826477.050781,496684570.3125,451662292.480469,..,..
Net official development assistance received (current US$),DT.ODA.ODAT.CD,"Micronesia, Fed. Sts.",FSM,..,97483078.0029297,50830165.8630371,98150947.5708008,98786018.371582,92541961.6699219,171628128.051758,131254821.777344,152271896.362305,125806556.70166,..,..
Net official development assistance received (current US$),DT.ODA.ODAT.CD,Moldova,MDA,..,122650001.525879,262047210.693359,243205596.923828,259717498.779297,342089813.232422,525234008.789063,597209777.832031,885744079.589844,1051385864.25781,..,..
Net official development assistance received (current US$),DT.ODA.ODAT.CD,Monaco,MCO,..,..,..,..,..,..,..,..,..,..,..,..
Net official development assistance received (current US$),DT.ODA.ODAT.CD,Mongolia,MNG,13050000.1907349,185569335.9375,325665527.34375,765590637.207031,333605773.925781,311184387.207031,703438781.738281,283391296.386719,285571807.861328,260169830.322266,..,..
Net official development assistance received (current US$),DT.ODA.ODAT.CD,Montenegro,MNE,..,..,85728492.7368164,117992591.85791,156216354.370117,96601860.0463867,206043991.088867,134142288.208008,103711677.55127,92358413.6962891,..,..
Net official development assistance received (current US$),DT.ODA.ODAT.CD,Morocco,MAR,1241089965.82031,447382141.113281,2062304931.64063,2427642333.98438,818291809.082031,752764953.613281,1829469360.35156,995351806.640625,1416493408.20313,771669433.59375,..,..
Net official development assistance received (current US$),DT.ODA.ODAT.CD,Mozambique,MOZ,997510009.765625,907392456.054688,1533772827.14844,1806093627.92969,1823561401.36719,1842462768.55469,2557619628.90625,2286182617.1875,2574513427.73438,2927378417.96875,..,..
Net official development assistance received (current US$),DT.ODA.ODAT.CD,Myanmar,MMR,154559997.558594,105639999.389648,1536660156.25,1542340576.17188,1711839843.75,2044929931.64063,2871274169.92188,1507776611.32813,1000781677.24609,1140740966.79688,..,..
Net official development assistance received (current US$),DT.ODA.ODAT.CD,Namibia,NAM,119620002.746582,152410736.083984,170194458.007813,190445175.170898,159495361.328125,144809631.347656,181494430.541992,183700286.865234,326610687.255859,271632598.876953,..,..
Net official development assistance received (current US$),DT.ODA.ODAT.CD,Nauru,NRU,159999.996423721,4000000,22680368.4234619,25757862.0910645,37531688.6901855,54330463.4094238,28254600.5249023,33764232.635498,35494575.5004883,37581523.8952637,..,..
Net official development assistance received (current US$),DT.ODA.ODAT.CD,Nepal,NPL,357179992.675781,311240234.375,1064495727.53906,1269647583.00781,1452363159.17969,1333569213.86719,1760075439.45313,1599871459.96094,1198725219.72656,1173136840.82031,..,..
Net official development assistance received (current US$),DT.ODA.ODAT.CD,Netherlands,NLD,..,..,..,..,..,..,..,..,..,..,..,..
Net official development assistance received (current US$),DT.ODA.ODAT.CD,New Caledonia,NCL,302410003.662109,..,..,..,..,..,..,..,..,..,..,..
