Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024],2025 [YR2025]
Net official development assistance received (current US$),DT.ODA.ODAT.CD,Afghanistan,AFG,122720001.220703,136009994.506836,4069414306.64063,3811737060.54688,3792489257.8125,4137609863.28125,4210314453.125,4691710449.21875,3914967041.01563,3060331298.82813,..,..
Net official development assistance received (current US$),DT.ODA.ODAT.CD,Albania,ALB,11050000.1907349,317854675.292969,171037841.796875,168354782.104492,344517028.808594,28130378.7231445,310592498.779297,634427917.480469,316767364.501953,360629669.189453,..,..
Net official development assistance received (current US$),DT.ODA.ODAT.CD,Algeria,DZA,331649993.896484,199956222.53418,144535736.083984,174651687.62207,144605117.797852,172993621.826172,211084747.314453,216855087.280273,216356399.536133,202314987.182617,..,..
Net official development assistance received (current US$),DT.ODA.ODAT.CD,American Samoa,ASM,..,..,..,..,..,..,..,..,..,..,..,..
Net official development assistance received (current US$),DT.ODA.ODAT.CD,Andorra,AND,..,..,..,..,..,..,..,..,..,..,..,..
Net official development assistance received (current US$),DT.ODA.ODAT.CD,Angola,AGO,265769989.013672,302209991.455078,206513397.216797,223139114.379883,162641571.044922,22704574.5849609,112879318.237305,249027175.90332,95931869.5068359,147169143.676758,..,..
Net official development assistance received (current US$),DT.ODA.ODAT.CD,Antigua and Barbuda,ATG,4610000.1335144,9881833.07647705,183259.99379158,10301978.1112671,17598558.4259033,27453153.6102295,25941589.3554688,6136724.94888306,..,..,..,..
Net official development assistance received (current US$),DT.ODA.ODAT.CD,Argentina,ARG,171630004.882813,74555419.921875,2619663.00010681,-1165737.03289032,73223083.4960938,9495451.92718506,103078170.776367,156561065.673828,385349548.339844,259022705.078125,..,..
Net official development assistance received (current US$),DT.ODA.ODAT.CD,Armenia,ARM,..,215889999.389648,326434722.900391,257544067.382813,141816253.662109,418213317.871094,127584777.832031,162794921.875,301331939.697266,205138351.44043,..,..
Net official development assistance received (current US$),DT.ODA.ODAT.CD,Aruba,ABW,29979999.5422363,..,..,..,..,..,..,..,..,..,..,..
Net official development assistance received (current US$),DT.ODA.ODAT.CD,Australia,AUS,..,..,..,..,..,..,..,..,..,..,..,..
Net official development assistance received (current US$),DT.ODA.ODAT.CD,Austria,AUT,..,..,..,..,..,..,..,..,..,..,..,..
Net official development assistance received (current US$),DT.ODA.ODAT.CD,Azerbaijan,AZE,..,140610565.185547,79432739.2578125,123526817.321777,87423637.3901367,120325294.494629,124028861.999512,10805034.6374512,48497169.4946289,123224662.780762,..,..
Net official development assistance received (current US$),DT.ODA.ODAT.CD,"Bahamas, The",BHS,3150000.09536743,..,..,..,..,..,..,..,..,..,..,..
Net official development assistance received (current US$),DT.ODA.ODAT.CD,Bahrain,BHR,137500000,60430000.3051758,..,..,..,..,..,..,..,..,..,..
Net official development assistance received (current US$),DT.ODA.ODAT.CD,Bangladesh,BGD,1788900024.41406,976340270.996094,2532818359.375,3781766845.70313,3044762207.03125,4382779785.15625,5376224609.375,5090641601.5625,5204791992.1875,5683857421.875,..,..
Net official development assistance received (current US$),DT.ODA.ODAT.CD,Barbados,BRB,2279999.97138977,1799999.95231628,..,..,..,..,..,..,..,..,..,..
Net official development assistance received (current US$),DT.ODA.ODAT.CD,Belarus,BLR,..,..,-22310482.0251465,-250166244.506836,119171150.20752,213054031.37207,327027496.337891,141043823.242188,17548471.4508057,114752738.952637,..,..
Net official development assistance received (current US$),DT.ODA.ODAT.CD,Belgium,BEL,..,..,..,..,..,..,..,..,..,..,..,..
Net official development assistance received (current US$),DT.ODA.ODAT.CD,Belize,BLZ,30319999.6948242,16146200.1800537,34960300.4455566,34203254.699707,33832420.3491211,35798328.3996582,69899658.203125,77875175.4760742,21012914.6575928,31858842.8497314,..,..
Net official development assistance received (current US$),DT.ODA.ODAT.CD,Benin,BEN,266880004.882813,244766067.504883,500756500.244141,679996398.925781,574678710.9375,594194396.972656,1050619873.04688,851502258.300781,848452880.859375,1034930297.85156,..,..
Net official development assistance received (current US$),DT.ODA.ODAT.CD,Bermuda,BMU,42189998.626709,..,..,..,..,..,..,..,..,..,..,..
Net official development assistance received (current US$),DT.ODA.ODAT.CD,Bhutan,BTN,41450000.7629395,47099536.895752,51595958.7097168,118542297.363281,107920967.102051,179687484.741211,203699218.75,128337051.391602,195201110.839844,156838043.212891,..,..
Net official development assistance received (current US$),DT.ODA.ODAT.CD,Bolivia,BOL,485040008.544922,426082000.732422,696505126.953125,949160339.355469,728865722.65625,709306457.519531,340416137.695313,507969451.904297,335734771.728516,764393493.652344,..,..
Net official development assistance received (current US$),DT.ODA.ODAT.CD,Bosnia and Herzegovina,BIH,9999.99977648258,737929992.675781,446115722.65625,440537841.796875,356066528.320313,461445007.324219,439946014.404297,565515319.824219,285065002.441406,307687896.728516,..,..
Net official development assistance received (current US$),DT.ODA.ODAT.CD,Botswana,BWA,145220001.220703,30620000.8392334,90570678.7109375,102091934.204102,85853736.8774414,67981483.4594727,80222389.2211914,97650299.0722656,90755447.3876953,284583099.365234,..,..
Net official development assistance received (current US$),DT.ODA.ODAT.CD,Brazil,BRA,174380004.882813,255680694.580078,674627136.230469,273873596.191406,444970092.773438,273563262.939453,613681701.660156,1115631103.51563,578414184.570313,699971862.792969,..,..
Net official development assistance received (current US$),DT.ODA.ODAT.CD,British Virgin Islands,VGB,5570000.17166138,..,..,..,..,..,..,..,..,..,..,..
Net official development assistance received (current US$),DT.ODA.ODAT.CD,Brunei Darussalam,BRN,3880000.11444092,..,..,..,..,..,..,..,..,..,..,..
Net official development assistance received (current US$),DT.ODA.ODAT.CD,Bulgaria,BGR,..,..,..,..,..,..,..,..,..,..,..,..
Net official development assistance received (current US$),DT.ODA.ODAT.CD,Burkina Faso,BFA,326529998.779297,179784667.96875,1029480468.75,892151123.046875,1187555664.0625,1108672241.21094,1732347412.10938,1611648925.78125,1392364990.23438,1436421997.07031,..,..
Net official development assistance received (current US$),DT.ODA.ODAT.CD,Burundi,BDI,262549987.792969,93306831.3598633,742641845.703125,435817657.470703,451423461.914063,555532897.949219,482453460.693359,609902648.925781,574596252.441406,621667724.609375,..,..
Net official development assistance received (current US$),DT.ODA.ODAT.CD,Cabo Verde,CPV,105279998.779297,94654670.715332,115243041.992188,123005393.981934,84276107.7880859,152924453.735352,159277160.644531,146456222.53418,83917076.1108398,101708351.135254,..,..
Net official development assistance received (current US$),DT.ODA.ODAT.CD,Cambodia,KHM,41310001.373291,345556671.142578,728448791.503906,856264343.261719,783395629.882813,967530273.4375,1374943725.58594,1368320312.5,1548953002.92969,1581260620.11719,..,..
Net official development assistance received (current US$),DT.ODA.ODAT.CD,Cameroon,CMR,444380004.882813,377156005.859375,756594604.492188,1216801269.53125,1165349975.58594,1298908203.125,1402096435.54688,1142313232.42188,1187023071.28906,940268859.863281,..,..
Net official development assistance received (current US$),DT.ODA.ODAT.CD,Canada,CAN,..,..,..,..,..,..,..,..,..,..,..,..
Net official development assistance received (current US$),DT.ODA.ODAT.CD,Cayman Islands,CYM,2990000.00953674,..,..,..,..,..,..,..,..,..,..,..
Net official development assistance received (current US$),DT.ODA.ODAT.CD,Central African Republic,CAF,248889999.389648,75901199.3408203,506760589.599609,511977661.132813,641049621.582031,677426879.882813,833897827.148438,660260131.835938,683818237.304688,737595642.089844,..,..
Net official development assistance received (current US$),DT.ODA.ODAT.CD,Chad,TCD,310579986.572266,131328125,624455627.441406,648980590.820313,875297180.175781,643311645.507813,1039181396.48438,732160888.671875,702319335.9375,1137950195.3125,..,..
Net official development assistance received (current US$),DT.ODA.ODAT.CD,Channel Islands,CHI,..,..,..,..,..,..,..,..,..,..,..,..
Net official development assistance received (current US$),DT.ODA.ODAT.CD,Chile,CHL,109139999.389648,50540466.3085938,178439346.313477,70305366.5161133,..,..,..,..,..,..,..,..
Net official development assistance received (current US$),DT.ODA.ODAT.CD,China,CHN,2030599975.58594,1749021362.30469,-791432739.257813,-989944335.9375,-705271057.128906,-607008422.851563,-570617065.429688,-561917724.609375,-280478118.896484,-267158996.582031,..,..
Net official development assistance received (current US$),DT.ODA.ODAT.CD,Colombia,COL,101050003.051758,202366668.701172,1106493774.41406,850370117.1875,1780952026.36719,874643737.792969,1870366821.28906,1918059448.24219,1884557373.04688,1031310791.01563,..,..
Net official development assistance received (current US$),DT.ODA.ODAT.CD,Comoros,COM,44880001.0681152,19306400.2990723,53743576.0498047,67219032.2875977,90929016.1132813,74461158.7524414,133506927.490234,156269882.202148,138987289.428711,166350936.889648,..,..
Net official development assistance received (current US$),DT.ODA.ODAT.CD,"Congo, Dem. Rep.",COD,895789978.027344,178435058.59375,2102263916.01563,2292403076.17188,2513901855.46875,2810390625,3383688964.84375,3611549316.40625,3289713623.04688,4347290527.34375,..,..
Net official development assistance received (current US$),DT.ODA.ODAT.CD,"Congo, Rep.",COG,217160003.662109,32150981.9030762,86959259.0332031,106943305.969238,146552825.927734,177544174.194336,217025772.094727,205558258.056641,704468933.105469,377500213.623047,..,..
Net official development assistance received (current US$),DT.ODA.ODAT.CD,Costa Rica,CRI,222500000,25459999.0844727,100722579.956055,99262054.4433594,99426277.1606445,57226413.7268066,209971389.770508,80645805.3588867,641308532.714844,144591003.417969,..,..
Net official development assistance received (current US$),DT.ODA.ODAT.CD,Cote d'Ivoire,CIV,686400024.414063,350915252.685547,615781555.175781,829150878.90625,960067993.164063,1174850708.00781,1564769409.17969,1577762939.45313,1967452636.71875,2376327392.57813,..,..
Net official development assistance received (current US$),DT.ODA.ODAT.CD,Croatia,HRV,..,65510002.1362305,..,..,..,..,..,..,..,..,..,..
Net official development assistance received (current US$),DT.ODA.ODAT.CD,Cuba,CUB,51810001.373291,45068965.9118652,2698113769.53125,734722839.355469,749779418.945313,497994049.072266,530086853.027344,153132995.605469,138591537.475586,167148452.758789,..,..
Net official development assistance received (current US$),DT.ODA.ODAT.CD,Curacao,CUW,..,..,..,..,..,..,..,..,..,..,..,..
Net official development assistance received (current US$),DT.ODA.ODAT.CD,Cyprus,CYP,38430000.3051758,..,..,..,..,..,..,..,..,..,..,..
Net official development assistance received (current US$),DT.ODA.ODAT.CD,Czechia,CZE,..,..,..,..,..,..,..,..,..,..,..,..
Net official development assistance received (current US$),DT.ODA.ODAT.CD,Denmark,DNK,..,..,..,..,..,..,..,..,..,..,..,..
Net official development assistance received (current US$),DT.ODA.ODAT.CD,Djibouti,DJI,207009994.506836,72243331.9091797,185352951.049805,142608474.731445,179217285.15625,263704925.537109,260729461.669922,178249496.459961,60856060.0280762,222374710.083008,..,..
