year,total_positive_misalignment,total_negative_misalignment,total_profits,misaligned_of_total_profits,total_tax_revenue_loss,total_tax_revenue_gain,average_tax_revenue_loss_pct_of_gvt_health_expenditure,average_tax_revenue_loss_pct_of_total_tax_revenues
2016,662415.9067010772,662415.9067010772,3137416.5971369087,0.21113418833366718,179281.75717300246,29037.94844240696,0.34065206595856184,0.045918185001605286
2017,1254936.4252477216,1254936.4252477218,7219385.107341846,0.17382871346917037,328567.36586421594,71614.20566424311,1.4208236885753671,123.20944624688592
2018,1575904.1745493861,1575904.1745493864,8255315.981718295,0.19089568201135906,410237.5038894827,79877.16126594903,0.5847269259911847,0.07110354254215713
2019,1752437.7034329618,1752437.703432962,8321342.9043731745,0.2105955401155252,443940.584852209,98510.78965054385,1.7966670112796634,0.29382786492998764
2020,2007429.3899673608,2007429.3899673605,5847464.054484567,0.34329914151893126,492492.5724312197,85759.69613183298,1.5021952599218895,0.24614455079184316
2021,2284976.137082082,2284976.137082082,11773755.373841,0.194073688855372,566357.0472328282,110713.25261369391,3.6691078489188107,0.22832517236005317
