year,total_positive_misalignment,total_negative_misalignment,total_profits,misaligned_of_total_profits,total_tax_revenue_loss,total_tax_revenue_gain,average_tax_revenue_loss_pct_of_gvt_health_expenditure,average_tax_revenue_loss_pct_of_total_tax_revenues
2016,825386.9952245948,825386.9952245947,3137416.5971369087,0.2630785455708409,119224.6299814426,34712.30574136238,0.3486360586854039,0.04686636879470129
2017,1459273.0974763446,1459273.0974763446,7219385.107341846,0.20213260212318054,227234.39088907666,86651.62133910073,1.2874631948063733,99.4936533717899
2018,1961250.7733324603,1961250.77333246,8255315.981718295,0.2375742827622496,294384.66176932276,95369.70781065915,0.5482367055067434,0.06421512067311796
2019,2223623.932310431,2223623.932310431,8321342.9043731745,0.2672193608488161,432699.9022932338,110187.41800863651,3.2418451319229504,0.5820413507585693
2020,2306672.148120136,2306672.1481201365,5847464.054484567,0.3944739337646875,347942.411782359,88008.11753489729,3.3177969846123503,0.4843411976401041
2021,2550780.7193125216,2550780.7193125216,11773755.373841,0.21664971271442088,329676.9280993454,123737.36831023016,3.59613681822916,0.2204740508865164
