iso_partner,partner_jurisdiction,negative_misalignment,tax_revenue_loss,tax_revenue_loss_suffered_pct_of_total,tax_revenue_loss_pct_of_gvt_health_expenditure,tax_revenue_loss_pct_of_total_tax_revenues,positive_misalignment,tax_revenue_gain,tax_revenue_loss_caused_usd,tax_revenue_loss_caused_pct_of_total,etr_average_corrected,cit,region_tjn,ukt,oecd,oecd_oct
ABW,Aruba,1374.617524055524,343.654381013881,0.0008376961583367593,,,25481.033572813474,3786.717737710791,6633.192409953553,0.016169151642801832,0.1486092676299819,0.25,Caribbean/American isl.,0.0,0.0,1.0
AFG,Afghanistan,37.772503221238345,7.554500644247669,1.8414943959591855e-05,0.07424945433956004,,746.3129985250956,99.66230266741219,194.27931379314697,0.00047357765185087876,0.1335395509181406,0.2,Asia,0.0,0.0,0.0
AGO,Angola,469.24831347761926,140.77449404328578,0.0003431536432154438,0.12582101106082436,0.01837105312593545,0.0,0.0,0.0,0.0,0.4067795756096148,0.3,Africa,0.0,0.0,0.0
AIA,Anguilla,1262.3318328551168,0.0,0.0,,,4453.555430083771,0.0,1159.3442625364164,0.0028260318755467606,0.0,0.0,Caribbean/American isl.,1.0,0.0,1.0
ALB,Albania,131.96153216381086,19.794229824571627,4.825065879375124e-05,0.045433141307755345,0.007041940774465369,0.0,0.0,0.0,0.0,0.154474002265593,0.15,Europe,0.0,0.0,0.0
AND,Andorra,139.9251398999563,0.0,0.0,0.0,,42.92371407962176,1.638887406265411,11.173850292467794,2.7237515308883143e-05,0.0381813978917421,0.0,Europe,0.0,0.0,0.0
ARE,United Arab Emirates,3988.212527660978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5185928948000367,0.0,Asia,0.0,0.0,0.0
ARG,Argentina,5899.776945718215,1769.9330837154644,0.004314410718022215,0.055921310553551866,0.03375026441399666,0.0,0.0,0.0,0.0,0.2454466313381469,0.3,Latin America,0.0,0.0,0.0
ARM,Armenia,26.500943068950395,5.3001886137900796,1.2919805145894076e-05,0.03445801788428579,0.002038545712292921,0.0,0.0,0.0,0.0,0.2707375064558568,0.2,Asia,0.0,0.0,0.0
ASM,American Samoa,190.26423214137012,64.68983892806584,0.00015768874935796501,,,336308.9869890945,30873.33692283526,87547.55624494542,0.21340700305287197,0.0918005111883507,0.34,Oceania,0.0,0.0,1.0
ATG,Antigua and Barbuda,33.970983680746954,8.492745920186739,2.0702022218023905e-05,0.18155513260583195,,1725.8580365949588,24.06925744256103,449.27331523997526,0.0010951541752774723,0.0139462556781603,0.25,Caribbean/American isl.,0.0,0.0,0.0
AUS,Australia,71443.43265068372,21433.029795205115,0.05224541781772136,0.2049606089889544,0.06467961075905242,0.0,0.0,0.0,0.0,0.246258374576379,0.3,Oceania,0.0,1.0,0.0
AUT,Austria,7023.377716775121,1755.8444291937803,0.004280068039968383,0.05007186313476287,0.015182741340958138,3257.985413265068,342.49197937878444,848.1148950749994,0.002067375330226951,0.1051238529136163,0.25,Europe,0.0,1.0,0.0
AZE,Azerbaijan,82.80876765564435,16.56175353112887,4.037113470637384e-05,0.03955826578043057,0.002710116021067192,0.0,0.0,0.0,0.0,0.3406300749452847,0.2,Asia,0.0,0.0,0.0
BDI,,-0.0,,,,,0.0,,0.0,0.0,,,,,,
BEL,Belgium,58932.84007256605,17432.334093465037,0.04249327262424373,0.385653182478623,0.1336442752714534,0.0,0.0,0.0,0.0,0.177501438852385,0.2958,Europe,0.0,1.0,0.0
BEN,Benin,161.44400709195128,48.43320212758538,0.00011806137095801267,0.7565584557371853,,0.0,0.0,0.0,0.0,0.2025477029299151,0.3,Africa,0.0,0.0,0.0
BFA,Burkina Faso,134.13656298668272,36.88755482133775,8.991755866200667e-05,0.10910479694514578,0.015180223596195178,76.58736718282408,5.203888915434878,19.93713250460358,4.859900012938507e-05,0.0679470924103255,0.275,Africa,0.0,0.0,0.0
BGD,Bangladesh,653.4353583176331,163.35883957940828,0.00039820552248537685,0.10636998461494453,0.0065745806163850255,0.0,0.0,0.0,0.0,0.3698279328257892,0.25,Asia,0.0,0.0,0.0
BGR,Bulgaria,761.4374457976203,76.14374457976203,0.0001856089310651496,0.027161625038631346,0.005761447821790865,686.5884281382557,66.4877009225245,178.73188453186282,0.0004356790464969602,0.0968377825749433,0.1,Europe,0.0,0.0,0.0
BHR,Bahrain,236.00331271143662,0.0,0.0,0.0,0.0,258.7275998414275,1.4934987477631694,67.3516616431413,0.0001641772412433694,0.0057724755637919,0.0,Asia,0.0,0.0,0.0
BHS,Bahamas,1287.2352150017841,0.0,0.0,0.0,0.0,1702.1383582414392,8.14062629646112,443.0986367297215,0.0010801027027726152,0.0047825878883733,0.0,Caribbean/American isl.,0.0,0.0,0.0
