iso_partner,partner_jurisdiction,negative_misalignment,tax_revenue_loss,tax_revenue_loss_suffered_pct_of_total,tax_revenue_loss_pct_of_gvt_health_expenditure,tax_revenue_loss_pct_of_total_tax_revenues,positive_misalignment,tax_revenue_gain,tax_revenue_loss_caused_usd,tax_revenue_loss_caused_pct_of_total,etr_average_corrected,cit,region_tjn,ukt,oecd,oecd_oct
ABW,Aruba,432.090180541182,108.0225451352955,0.0003191485512668791,,,1632.9110056613122,114.27013586511858,234.69896385961297,0.0006934092712388691,0.0699794021039379,0.25,Caribbean/American isl.,0.0,0.0,1.0
AFG,Afghanistan,119.01574129656846,23.803148259313694,7.032550726365479e-05,0.09961809820163246,,797.3009963221093,48.06787129243444,114.5963969085089,0.0003385707493555885,0.060288236831721,0.2,Asia,0.0,0.0,0.0
AGO,Angola,1894.8698461984764,568.4609538595429,0.0016794965314771374,0.5850950978986381,,0.0,0.0,0.0,0.0,0.3104050510657583,0.3,Africa,0.0,0.0,0.0
AIA,Anguilla,465.19624941670804,0.0,0.0,,,26525.391918620822,0.0,3812.5053831388705,0.011263903921186015,0.0,0.0,Caribbean/American isl.,1.0,0.0,1.0
ALB,Albania,3125.601786848951,468.84026802734263,0.0013851709578689736,1.0341316738040243,0.18206491650368015,0.0,0.0,0.0,0.0,0.1575415118224432,0.15,Europe,0.0,0.0,0.0
AND,Andorra,6339.224222844038,0.0,0.0,0.0,,2202.0887506564463,48.76051995293211,316.5071129498987,0.0009351083742482339,0.022142849573341,0.0,Europe,0.0,0.0,0.0
ARE,United Arab Emirates,748.8758346171451,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3079401086680354,0.0,Asia,0.0,0.0,0.0
ARG,Argentina,8457.220532352065,2537.1661597056195,0.007495962099200956,0.09836708589636986,0.06053242916140512,0.0,0.0,0.0,0.0,0.193110428010937,0.3,Latin America,0.0,0.0,0.0
ARM,Armenia,83.49363678820276,15.028854621876498,4.44021863562371e-05,0.05044397785766718,0.005438285015405791,0.0,0.0,0.0,0.0,0.7520839832976276,0.18,Asia,0.0,0.0,0.0
ASM,,252325.71984126774,,,,,27483.49945160279,,3950.2145690512334,0.011670760537321342,,,,,,
ATG,Antigua and Barbuda,468.9525475681321,117.23813689203303,0.00034637567088849206,2.319683411969523,,75.02070666650509,1.0462579563273449,10.782756721952484,3.1857249633992565e-05,0.0139462556781603,0.25,Caribbean/American isl.,0.0,0.0,0.0
AUS,Australia,65099.42456885316,19529.82737065595,0.05770014124394606,0.17328496950192315,0.06507751030929097,0.0,0.0,0.0,0.0,0.2441466585383579,0.3,Oceania,0.0,1.0,0.0
AUT,Austria,1426.6242892355588,356.6560723088897,0.0010537269663046071,0.009379229352115772,0.003355632664490635,9940.256916194387,1015.1018433122623,1428.71717481281,0.004221091217028095,0.1021202823901349,0.25,Europe,0.0,1.0,0.0
AZE,Azerbaijan,166.0065345074147,33.201306901482944,9.8092013889359e-05,0.03340280819621026,0.005121148104858879,314.56057330515927,32.921725143526096,45.21191930843012,0.00013357691701494493,0.1046594135991363,0.2,Asia,0.0,0.0,0.0
BDI,,7477.709788937912,,,,,3555.5117448771375,,511.0351511014496,0.0015098341546776605,,,,,,
BEL,Belgium,2335.3566929024196,583.8391732256049,0.001724930902844669,0.012743116374942548,0.005041810979928159,0.0,0.0,0.0,0.0,0.1677587380527067,0.25,Europe,0.0,1.0,0.0
BEN,Benin,5205.517551338286,1561.6552654014856,0.0046138518112764735,36.071696957571824,,0.0,0.0,0.0,0.0,0.1641918856038742,0.3,Africa,0.0,0.0,0.0
BFA,Burkina Faso,107.58483321930622,29.58582913530921,8.741022066029963e-05,0.058384107734039035,0.012427104118903855,0.0,0.0,0.0,0.0,0.2714608102913643,0.275,Africa,0.0,0.0,0.0
BGD,Bangladesh,751.1076749155942,187.77691872889855,0.0005547798517302777,0.12266879162260748,0.007171353089278027,0.0,0.0,0.0,0.0,0.3120137264447936,0.25,Asia,0.0,0.0,0.0
BGR,Bulgaria,1220.2067419813952,122.02067419813953,0.0003605054976826302,0.034240006713370866,0.008551136600950086,3257.397901989503,303.5991402529038,468.18712705399133,0.0013832412774012802,0.0932029642640453,0.1,Europe,0.0,0.0,0.0
BHR,Bahrain,303.075567190949,0.0,0.0,0.0,0.0,1196.2986939648702,9.48380885097128,171.9444984856687,0.0005080035609351794,0.0079276261846774,0.0,Asia,0.0,0.0,0.0
BHS,Bahamas,418.79771426813244,0.0,0.0,0.0,0.0,6409.548612099865,48.47239848925763,921.247032356443,0.0027217897464573214,0.0075625291924227,0.0,Caribbean/American isl.,0.0,0.0,0.0
BIH,Bosnia and Herzegovina,138.14626406469702,13.814626406469703,4.081479471156618e-05,0.010113581805115039,0.003642605603483305,987.0398976016456,97.22882045951872,141.8676464620838,0.0004191426315988733,0.098505461325089,0.1,Europe,0.0,0.0,0.0
BLR,Belarus,211.23529222570906,38.02235260062763,0.00011233561228399365,0.013643768779171953,0.005153009522740754,0.0,0.0,0.0,0.0,0.1964008207653353,0.18,Europe,0.0,0.0,0.0
BLZ,Belize,115.70769264304319,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.51386199559679,0.0,Caribbean/American isl.,0.0,0.0,0.0
