year,total_positive_misalignment,total_negative_misalignment,misaligned_of_total_profits,total_tax_revenue_loss,total_tax_revenue_gain,average_tax_revenue_loss_pct_of_gvt_health_expenditure,average_tax_revenue_loss_pct_of_total_tax_revenues
2016,1080177.5418923858,1080177.5418923856,0.20408091690516972,171927.8604157588,49857.53321954337,0.4796595303995947,0.05962861547205977
2017,1597646.9870137498,1597646.9870137498,0.18881825406404315,239475.838785503,97483.76773793253,1.1164103572399928,83.49456802221462
2018,2134737.367075151,2134737.367075151,0.24914790017533686,315830.27633813396,105982.85667019013,0.5817795599644369,0.06346274842055676
2019,2267903.911666086,2267903.9116660864,0.266531219754007,426171.19294135587,116153.77491718795,3.3360460106296257,0.5470459423506526
2020,2354902.181714266,2354902.1817142665,0.4005862832489111,338471.0496303167,92786.29056758937,2.83425603941116,0.39900529100028603
2021,2685421.313881371,2685421.3138813716,0.22018525219074184,345594.55531058344,129951.57480010798,3.763512139636166,0.22824072278646182
