year,total_positive_misalignment,total_negative_misalignment,misaligned_of_total_profits,total_tax_revenue_loss,total_tax_revenue_gain,average_tax_revenue_loss_pct_of_gvt_health_expenditure,average_tax_revenue_loss_pct_of_total_tax_revenues
2016,868005.7497323628,868005.7497323627,0.16399471606676677,232618.8045560022,40550.63382406795,0.5044097661119288,0.0613979325250763
2017,1276961.7723372197,1276961.7723372197,0.15091800273721223,334047.1919410869,72876.09833594211,1.4463974623091873,134.0950979423644
2018,1634382.6485678311,1634382.6485678311,0.1907508676496342,424828.0758843099,83671.56682100397,0.6042326761143457,0.07310949833644392
2019,1754652.7212702231,1754652.7212702236,0.20621232127126268,444420.4827249508,98647.71678664869,1.797287879782889,0.293919557476547
2020,2007604.2881346077,2007604.2881346075,0.34150834215669307,492531.7496373793,85771.5616435415,1.502283248280435,0.24615174025074932
2021,2305342.337927769,2305342.337927769,0.18902150714256363,570805.8275464191,111803.93943342147,3.679304152946275,0.22899180409201605
