iso3,iso2,cthi_2019_rank,cthi_2019_share,cthi_2019_score,cthi_2021_rank,cthi_2021_share,cthi_2021_score,fsi_2009_rank,fsi_2009_score,fsi_2009_gsw,fsi_2009_value,fsi_2011_rank,fsi_2011_score,fsi_2011_gsw,fsi_2011_value,fsi_2013_rank,fsi_2013_score,fsi_2013_gsw,fsi_2013_value,fsi_2015_rank,fsi_2015_score,fsi_2015_gsw,fsi_2015_value,fsi_2018_rank,fsi_2018_score,fsi_2018_gsw,fsi_2018_value,region,subregion,continent,country,region_tjn,g7,g24,g77,eu27,g20,gafilat,cfatf,ukt,mena,latam,gbr_ot,gbr_cd,gbr_oct,nld_oct,fra_oct,dnk_oct,eu28_oct,usa_oct,oecd_oct,opec,efta,fsi_2020_rank,fsi_2020_score,fsi_2020_gsw,fsi_2020_value,fsi_2022_rank,fsi_2022_score,fsi_2022_gsw,fsi_2022_value,legal_old,legal_new,gmt_offset_2020,continent_cepii,eu28,oecd,amount_swissleaks,share_swissleaks,n_realestateowners_dubai,n_properties_dubai,propertyvalue_usd_dubai,n_villas_dubai,n_buildings_dubai,profits_c16,taxrate_c16,excessincome_c16,tre_c16,treshareofcorp_c16,tre_cj18,ps_cj18,trl_cj18,grossprofit_cj19,efftaxrate_cj19,addgrossprofit_cj19,tre_cj19,ps_cj19,trl_cj19,ectr_garcia2019,ps_garcia2020_emp,ps_garcia2020_revt,ps_garcia2020_assets,ps_garcia2020_ccctb,ps_garcia2020_wages,trl_globalmodel_jansky19,trl_devmodel_jansky19,ps_jansky19,ps_socorpprof_jansky19,ps_sofcorpprof_jansky19,trl_jansky19,trl_sogdp_jansky19,trl_socorptax_jansky19,trl_sotottax_jansky19,profits_shifted_intohaven_bnusd,profits_shifted_out_bnusd,profits_shifted_out_pctgdp,profits_shifted_out_pct_profits,corporate_tax_loss_pct_taxcollected,fdi_interest_to_haven_mnusd,fdi_interest_to_euhaven_mnusd,fdi_interest_to_noneuhaven_mnusd,royalty_payments_to_haven_mnusd,royalty_payments_to_euhaven_mnusd,royalty_payments_to_noneuhaven_mnusd,cthi_2019_value,cthi_2021_value,cthi_2021_gsw,cthi_2019_gsw,sotj23_loss_total_share,sotj23_loss_total_musd,sotj23_loss_total_share_revenue,sotj23_loss_total_share_healthexpenses,sotj23_loss_total_share_gdp,sotj23_loss_offshore_share,sotj23_loss_offshore_musd,sotj23_loss_offshore_share_revenue,sotj23_loss_corp_share,sotj23_loss_corp_musd,sotj23_loss_corp_share_revenue,sotj23_profit_shifted_outward_musd,sotj23_inflictedloss_total_share,sotj23_inflictedloss_total_musd,sotj23_gain_corp_musd,sotj23_inflictedloss_offshore_share,sotj23_inflictedloss_offshore_musd,sotj23_inflictedloss_corp_share,sotj23_inflictedloss_corp_musd,sotj23_profit_shifted_inward_musd,sotj20_loss_total_share,sotj20_loss_total_musd,sotj20_loss_total_share_revenue,sotj20_loss_total_share_healthexpenses,sotj20_loss_offshore_share,sotj20_loss_offshore_musd,sotj20_loss_corp_share,sotj20_loss_corp_musd,sotj20_inflictedloss_total_share,sotj20_inflictedloss_total_musd,sotj20_inflictedloss_offshore_share,sotj20_inflictedloss_offshore_musd,sotj20_inflictedloss_corp_share,sotj20_inflictedloss_corp_musd,sotj21_loss_total_share,sotj21_loss_total_musd,sotj21_loss_total_share_revenue,sotj21_loss_total_share_healthexpenses,sotj21_loss_offshore_share,sotj21_loss_offshore_musd,sotj21_loss_corp_share,sotj21_loss_corp_musd,sotj21_inflictedloss_total_share,sotj21_inflictedloss_total_musd,sotj21_inflictedloss_offshore_share,sotj21_inflictedloss_offshore_musd,sotj21_inflictedloss_corp_share,sotj21_inflictedloss_corp_musd,test
CYM,KY,3,0.066711653,100,2,0.059938502,100,4,92,0.04767,403.47888,2,77.13,0.0462181,1646.67297,4,69.93,4.69371,1233.567,5,65.24,4.857429,1013.158,3,72.275,0.0378563,1267.682,Americas,Latin America and the Caribbean,America,Cayman Islands,Caribbean/American isl.,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,1,0,1,0,0,1,76.075,0.045795109,1575.187467,14,72.625,0.002450663,516.4397095,3,2,-5,America,0,0,4300,0.017263156,6,1142,565389110.8,0,5,,,,,,,,,,,,,,,,-1.5084E+11,-1.34889E+11,-1.0071E+11,-1.28781E+11,-1.50647E+11,,,,,,,,,,,,,,,,,,,,,2534.056528,2652.729225,0.018667182,0.016272298,0,0,0,,0,0,0,0,0,0,0,7948,0.111896138,53758.25572,0,0.256442487,43307.28125,0.033544796,10450.97447,38389,3.90E-07,0.166760098,3.43E-05,,0,0,6.81E-07,0.166760098,0.164666596,70441.67661,0.260405127,47621.77734,0.093177467,22819.89927,0,0,,,0,0,0,0,0.172148975,0.083132627,0.266121228,0.045433266,0.120758902,0.037699362,26
CYP,CY,18,0.018377804,71.12914214,14,0.031158476,85.34487257,18,75,0.00206,11.5875,20,57.67,0.0095209,406.5143262,41,52.4,0.26426,198.9163,35,49.82,0.5178813,213.938,24,61.25,0.0054527,404.4424,Asia,Western Asia,Europe,Cyprus,Europe,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,61.075,0.004765472,383.3767089,15,61.525,0.010504506,510.0507683,3,2,2,Europe,1,0,647,0.002597503,121,238,349310867.1,36,0,,,,,,-0.2591206,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,698.0848415,1378.996746,0.010916736,0.007299557,0.002295002,1102.572327,0.177133785,1.486586498,0.043075163,0.005516489,931.5723267,0.149661775,0.000548864,171,0.027472009,1368,0.001549345,744.3519254,89.875,0.003248587,548.6122437,0.000628271,195.7396817,719,0.002536164,1084.929713,0.191595961,1.548725379,0.005825782,1065.394165,7.98E-05,19.53554796,0.003380746,1446.227757,0.003361159,614.6744385,0.003395371,831.5533181,0.002482301,0.00119873,0.213395807,1.760097467,0.006561649,0.00112023,0.000251452,7.85E-05,0.002949109,0.001424157,0.002604231,0.000444605,0.003137711,0.000979552,60
CZE,CZ,31,0.007099758,58.89175804,37,0.00607574,58.26330409,,,,,,,,,,,,,81,35.18,0.1049423,44.24571,70,52.925,0.0009378,145.1049,Europe,Eastern Europe,Europe,Czechia,Europe,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,55.4,0.000885897,163.301549,92,50,0.000762966,114.22075,,3,1,Europe,1,1,104.6,0.000419936,158,224,89288836.58,22,0,1.9,14,0.4,-0.6,8,-0.18294592,,,1444,0.18,1414,252,1414000000,252000000,15,29380914410,8077752928,9114909828,15072116733,26666460473,781.9738,303.4326,1426.935,0.0424968,0.0815821,271.1177,0.1388176,3.836133,0.7164987,,1.760628493,0.009423696,0.052434867,0.049844079,177.783397,144.8441151,32.93928192,2190.406795,1823.1948,367.2119948,269.6858472,268.8971495,0.002513059,0.002301886,0.001577026,757.6398609,0.015489056,0.048114257,0.003042724,0.000467576,78.95986938,0.001614242,0.002178379,678.6799915,0.013874814,3572,0.001100447,528.6877078,368.9799954,0,0,0.001696944,528.6877078,1942,0.001077525,460.9475185,0.011015547,0.034887792,0.000414751,75.84796906,0.001572426,385.0995494,0.001470572,629.0866167,0,0,0.002568666,629.0866167,0.001564689,0.000755606,0.017833135,0.056355394,0.000595262,0.000101626,0.002094834,0.00065398,0.000200699,9.69E-05,0,0,0.000310454,9.69E-05,46
DEU,DE,24,0.0121343,52.33767255,23,0.014332412,58.01713748,,,,,9,57.13,0.0463449,669.7714873,8,59.47,4.32597,738.3376,8,56.36,6.026058,701.8712,7,59.1,0.0516907,768.9534,Europe,Western Europe,Europe,Germany,Europe,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,51.725,0.047084074,499.7193618,7,56.7,0.052063782,680.6561094,4,3,1,Europe,1,1,4400,0.017664625,2109,4447,1801164073,557,5,80.4,25,43.5,-17.2,28,15.0240555,49.78974,3056617000,16715,0.28,25777,7117,25777000000,7117000000,20,1.06604E+11,1.4442E+11,78400521757,1.36518E+11,2.66864E+11,10263.19,3982.466,11972.89,0.0216489,0.2795062,3558.344,0.1023159,5.138268,0.4371487,,54.90433859,0.016265008,0.099275644,0.279165955,13655.60594,12437.85067,1217.755271,51452.37834,37230.81564,14221.5627,460.92399,634.3169461,0.034269855,0.033232138,0.054215139,26046.21503,0.02729575,0.073806072,0.006553425,0.058224789,9832.449219,0.010304149,0.052041795,16213.76581,0.016991601,54363,0,0,0,0,0,0,0,0,0.081965913,35063.67751,0.0414701,0.112598493,0.058340621,10669.08398,0.099607207,24394.59352,0.007986412,3416.456374,0.000208666,38.15991974,0.01379415,3378.296454,0.090546616,0.043725952,0.050836705,0.137947969,0.055863043,0.009537158,0.109513823,0.034188794,0.000968689,0.000467791,0.002740041,0.000467791,0,0,78
DJI,DJ,,,,,,,,,,,,,,,,,,,,,,,,,1.47E-05,,Africa,Sub-Saharan Africa,Africa,Djibouti,Africa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,1,1,3,Africa,0,0,3.9,1.57E-05,39,49,21837406.14,5,0,,,,,,0.010903606,0.043614425,0.010903606,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.65E-06,1.46E-06,2.34E-05,11.24561167,0.029950767,0.335037983,0.003859873,2.37E-05,3.995611668,0.010641629,2.33E-05,7.25,0.019309137,29,0,0,0,0,0,0,0,0,1.04E-05,4.443973064,0.008136348,0.068453396,2.43E-05,4.443973064,0,0,0,0,0,0,0,0,1.48E-05,7.15E-06,0.020092649,0.180743831,2.43E-05,4.15E-06,9.61E-06,3.00E-06,0,0,0,0,0,0,45
DMA,DM,,,,,,,39,100,1.00E-05,0.1,72,79.87,1.46E-08,12.45284756,77,78.53,1.72E-05,26.94115,89,76.16,1.12E-05,21.31418,96,77.325,2.41E-06,62.02435,Americas,Latin America and the Caribbean,America,Dominica,Caribbean/American isl.,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118,73.65,2.44E-06,53.75459323,128,65.175,3.99E-06,43.8971151,3,2,-4,America,0,0,40.9,0.000164201,58,196,100855582.4,27,0,,,,,,0.012027544,0.04009181,0.012027544,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.62E-06,3.87E-06,1.07E-05,5.127223492,0.045322073,0.216335758,0.009242064,2.44E-05,4.127223492,0.036482577,3.21E-06,1,0.008839496,4,1.84E-07,0.088289723,0,5.23E-07,0.088289723,0,0,0,1.12E-05,4.804869175,0.038077921,0.251414534,2.63E-05,4.804869175,0,0,5.99E-08,0.025640106,1.40E-07,0.025640106,0,0,1.56E-05,7.52E-06,0.063182935,0.407704401,1.92E-05,3.27E-06,1.36E-05,4.25E-06,0,0,0,0,0,0,15
DNK,DK,36,0.005962612,51.70442715,34,0.006662194,56.42556484,,,,,49,39.6,0.0075233,121.6806958,66,32.6,0.60464,63.11788,83,30.87,0.219033,38.20438,61,52.5,0.0015129,166.1187,Europe,Northern Europe,Europe,Denmark,Europe,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97,45.325,0.001374197,103.5213067,80,48.95,0.001697743,139.9207287,5,4,1,Europe,1,1,737.4,0.002960431,530,855,326927141.8,110,0,7.2,20,2.8,-1.3,13,0.42116633,1.6846653,85685540,5554,0.51,-2768,-1400,-2768000000,-1400000000,19,3729888486,5303834266,6485200652,7387531982,17017233568,660.8187,256.4202,1041.419,0.0201464,0.2038282,229.1121,0.0746537,2.766592,0.1627003,,2.961766172,0.009830008,0.057295749,0.084310816,307.433298,258.8561751,48.57712284,3383.873504,2705.457385,678.4161196,226.4910866,294.8521429,0.004421093,0.004399505,0.003701094,1778.091862,0.011284311,0.058987167,0.004982866,0.007410482,1251.411865,0.00794184,0.0016905,526.6799971,0.003342471,2394,0.006445466,3096.595003,1875.05999,0.004596855,776.303894,0.007447506,2320.291109,8523,0.00425868,1821.793867,0.011811087,0.063282902,0.006155844,1125.754517,0.002842045,696.03935,0.005415521,2316.671494,0.001717267,314.0465088,0.008177053,2002.624986,0.004461117,0.002154322,0.013967587,0.074860749,0.007538968,0.001287082,0.00277795,0.00086724,0.00645947,0.003119349,0.001204584,0.000205651,0.009333179,0.002913697,24
DOM,DO,,,,,,,,,,,,,,,42,73.1,0.01221,193.7889,,,,,69,71.6,6.43E-05,147.0888,Americas,Latin America and the Caribbean,America,Dominican Republic,Latin America,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,107,58.725,7.84E-05,86.68009359,84,64.725,0.000100186,125.9365505,1,1,-4,America,0,0,34.3,0.000137704,125,291,163924498,60,0,,,,,,1.175923,4.054907,1.175923,434,0.33,252,83,252000000,83000000,,10337527668,980176944.2,2179994603,3181482492,2431024188,,,,,,,,,,,,,,,,,,,,,,,0.000142935,0.000135048,0.000525311,252.3715872,0.022647377,0.116128617,0.002949804,0.000460007,77.68158722,0.006971007,0.000560708,174.69,0.01567637,647,0,0,0,0,0,0,0,0,0.000288015,123.2082766,0.011686912,0.057593265,0.000173655,31.75730324,0.00037341,91.45097335,0.000124244,53.14973111,0,0,0.000217019,53.14973111,0.00079959,0.000386131,0.039209869,0.198639605,0.000529983,9.05E-05,0.000947029,0.00029565,0,0,0,0,0,0,79
DZA,DZ,,,,,,,,,,,,,,,,,,,,,,,,,0.0006196,,Africa,Northern Africa,Africa,Algeria,Africa,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,23,79.625,0.000499516,400.5574352,34,79.075,0.000311251,335.0847345,1,1,1,Africa,0,0,671.1,0.002694257,790,1539,450011529.8,131,0,,,,,,,,,,,,,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00039389,0.000255244,0.000130102,62.50424393,0.006580711,0.008728918,0.000357349,0.000319323,53.92424393,0.005677372,2.75E-05,8.58,0.000903339,33,0,0,0,0,0,0,0,0,0.001151843,492.73946,0.019357084,0.062880374,0.000317098,57.98945999,0.001775157,434.75,0.001286491,550.3396907,0,0,0.002247129,550.3396907,0.000967142,0.000467044,0.018198629,0.058439371,0.000312162,5.33E-05,0.001325327,0.00041375,0.002092767,0.00101062,0,0,0.003237226,0.00101062,33
ECU,EC,,,,66,0.000973651,42.73615196,,,,,,,,,,,,,,,,,,,0.0002126,,Americas,Latin America and the Caribbean,America,Ecuador,Latin America,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,120,47.2125,0.000111552,50.65986558,116,52.225,0.000133635,72.82409811,1,1,-5,America,0,0,198.4,0.000796514,9,12,5359400.555,5,0,,,,,,0.020096762,0.09134892,0.020096762,323,0.33,330,108,330000000,108000000,26,2615019703,3692586161,2467703745,2584546328,571678455.2,,,,,,,,,,,,,,,,,,,,,,43.09136,0.000168272,0.00013968,0.000292472,140.5101929,0.008721997,0.03087885,0.001306318,0.000694379,117.2601929,0.007278782,7.46E-05,23.25,0.001443215,93,0,0,0,0,0,0,0,0,0.000707478,302.6476315,0.020868633,0.070094226,0.000257783,47.1422081,0.001043271,255.5054234,4.11E-05,17.5980715,0,0,7.19E-05,17.5980715,0.000561471,0.00027114,0.018582505,0.062889026,0.000641038,0.00010944,0.000517959,0.0001617,0,0,0,0,0,0,31
EGY,EG,,,,,,,,,,,,,,,,,,,,,,,,,0.0004498,,Africa,Northern Africa,Africa,Egypt,Africa,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,46,71.375,0.000294548,241.9304224,56,68.25,0.00029395,211.3809775,1,1,2,Africa,0,0,3500,0.014051406,6202,9484,3442276051,1252,19,,,,,,-0.9571151,,,4737,0.43,-2067,-881,-2067000000,-881000000,,1923972066,-1009751176,1277310134,-1175825724,-9514044325,,,,,,,,,,,,,,,,,,,,,,,0.000626719,0.000581176,0.000912467,438.3702506,0.012402525,0.123493275,0.001755496,0.001041006,175.7952576,0.004973661,0.000842795,262.574993,0.007428864,1167,0,0,0,0,0,0,0,0,0.005424838,2320.657159,0.061439167,0.512625289,0.001078958,197.3152924,0.00866996,2123.341867,9.14E-06,3.910682556,0,0,1.60E-05,3.910682556,0.001922771,0.000928527,0.023894994,0.202265266,0.000996065,0.000170052,0.002429553,0.000758475,0,0,0,0,0,0,4
ERI,ER,,,,,,,,,,,,,,,,,,,,,,,,,6.54E-09,,Africa,Sub-Saharan Africa,Africa,Eritrea,Africa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,2.56E-07,,,,,,1,1,3,Africa,0,0,699.6,0.002808675,83,192,93537127.69,35,5,,,,,,0.13625321,0.40074474,0.13625321,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.25E-06,4.53E-06,2.67E-06,1.283261895,0.00344724,0.029375715,0.000187194,7.60E-06,1.283261895,0.00344724,0,0,0,0,0,0,0,0,0,0,0,0,3.35E-06,1.43375361,0.000261976,0.047870209,7.84E-06,1.43375361,0,0,0,0,0,0,0,0,4.80E-06,2.32E-06,,0.064248789,1.36E-05,2.32E-06,,,0,0,0,0,0,0,0
ESH,EH,,,,,,,,,,,,,,,,,,,,,,,,,1.43E-09,,Africa,Northern Africa,Africa,Western Sahara,Africa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,1.44E-09,,,,,,,,1,Africa,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.26E-07,3.18E-07,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,0,0,0,0,,,,,,,0,0,,,0,0,21
ESP,ES,27,0.010610707,54.53924898,22,0.01554106,64.80743456,,,,,54,33.93,0.0161782,98.79348649,56,35.6,1.50447,111.3811,66,32.69,1.090434,77.46602,52,47.7,0.0076538,213.8851,Europe,Southern Europe,Europe,Spain,Europe,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,43.95,0.007248589,164.2963027,29,56.575,0.006969102,345.8857121,1,1,1,Europe,1,1,2300,0.009233781,527,695,274338499.6,103,0,33.1,25,17.7,-6.6,24,5.516292,18.38764,1122279700,1660,0.59,8234,4871,8234000000,4871000000,22,34159849407,39407586708,25658934426,35531378471,48895379150,4457.314,1729.59,6181.57,0.0388891,0.2965612,1545.392,0.1249044,5.479081,0.5664347,,14.36207152,0.011990477,0.090353826,0.141695662,5890.807944,5591.24902,299.5589242,10955.25027,7732.302345,3222.947922,403.0500061,687.808707,0.016135393,0.015335376,0.013372904,6424.654175,0.019755982,0.071498491,0.004518986,0.009139573,1543.404175,0.004746009,0.01566749,4881.25,0.015009973,19525,0.002918384,1402.078857,0,0.008302359,1402.078857,0,0,0,0.010231363,4376.809767,0.015154557,0.050376878,0.009356642,1711.102783,0.010884528,2665.706984,0.007260607,3105.968772,0.005669764,1036.862183,0.008448508,2069.106589,0.014955742,0.007222291,0.024806371,0.085132998,0.010938955,0.001867541,0.017152379,0.00535475,0.008333455,0.004024317,0.009407612,0.001606105,0.007746037,0.002418212,92
EST,EE,39,0.005566787,66.52450144,38,0.005810048,70.00569726,,,,,,,,,,,,,77,44.24,0.0228461,52.93182,93,50.85,0.0002208,79.46701,Europe,Northern Europe,Europe,Estonia,Europe,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121,43.05,0.00019208,46.03418673,125,44.2,0.000159722,46.85132483,2,3,2,Europe,1,1,10.7,4.30E-05,33,43,11300435.4,6,0,,,,,,-0.007650003,,,,,,,,,14,,,,,,68.23911,26.4791,118.2957,0.0289962,0.0813009,23.65914,0.1013764,5.794117,0.4421951,,0.243693497,0.010849876,0.059733162,0.103574647,33.60472196,26.17397486,7.430747101,253.0890281,181.3324106,71.75661752,211.4556203,257.138284,0.000421017,0.00037053,0.000201957,97.02481434,0.014797368,0.064386806,0.003168186,7.48E-05,12.62481308,0.001925425,0.000270901,84.40000126,0.012871943,422,0,0,0,0,0,0,0,0,0.000153292,65.57577737,0.011576711,0.05314454,8.06E-05,14.74111366,0.000207566,50.83466371,0,0,0,0,0,0,0.000203444,9.82E-05,0.01711061,0.077556447,9.28E-05,1.58E-05,0.000263944,8.24E-05,0,0,0,0,0,0,25
ETH,ET,,,,,,,,,,,,,,,,,,,,,,,,,6.75E-07,,Africa,Sub-Saharan Africa,Africa,Ethiopia,Africa,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,5.89E-06,,,,,,1,1,3,Africa,0,0,10,4.01E-05,220,321,109563945.5,46,0,,,,,,1.1083591,3.69453,1.1083591,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.29E-05,1.04E-05,0.000111209,53.42755737,0.005929952,0.082326596,0.000634009,8.90E-05,15.02755737,0.001667916,0.000123254,38.4,0.004262036,128,0,0,0,0,0,0,0,0,0.000887293,379.5694026,0.040152613,0.564211309,9.25E-05,16.91088295,0.001480795,362.6585196,0,0,0,0,0,0,0.00030706,0.000148283,0.017025845,0.222619942,6.37E-05,1.09E-05,0.000440121,0.0001374,0,0,0,0,0,0,28
FIN,FI,34,0.006227056,55.0324844,32,0.006869246,59.80558607,,,,,,,,,,,,,90,31.38,0.0248691,19.43176,71,52.7,0.0009177,142.2335,Europe,Northern Europe,Europe,Finland,Europe,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87,52.125,0.000598392,119.3438966,88,51.8,0.000626927,118.9583779,5,4,2,Europe,1,1,22.9,9.19E-05,119,191,65093105.52,23,0,5.3,20,2,-1,18,0.27720773,1.1314602,56397416,,,,,,,12,,,,,,339.4009,131.6991,588.3674,0.0234457,0.1385499,117.6735,0.0493022,2.215567,0.1574252,,2.714869366,0.011678624,0.108184311,0.107670394,353.7922873,251.9799614,101.8123259,2875.255501,1852.474162,1022.78134,236.5360837,304.0157672,0.002870864,0.002858381,0.001883605,904.9276167,0.010746204,0.046231788,0.003282196,0.003629572,612.9276123,0.007278643,0.000937241,292.0000044,0.003467561,1460,0.005602548,2691.631895,1481.600022,0.003996319,674.8870239,0.006473205,2016.744871,7408,0.002149932,919.7056214,0.011371671,0.048845259,0.003253365,594.9614868,0.001325985,324.7441346,0.003217924,1376.575354,0.003587797,656.1209717,0.002941736,720.4543819,0.001719672,0.000830448,0.010347258,0.042539462,0.003348379,0.000571648,0.00082899,0.0002588,0.004775752,0.002306263,0.002759789,0.000471162,0.00587821,0.001835101,33
FJI,FJ,,,,,,,,,,,,,,,,,,,,,,,,,1.07E-05,,Oceania,Melanesia,Pacific,Fiji,Oceania,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,9.96E-06,,121,70.3,4.61E-06,57.81652453,3,2,12,Pacific,0,0,,,5,5,3164917.645,5,0,,,,,,0.06942923,0.24796155,0.06942923,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.38E-05,3.74E-06,1.66E-05,7.955691659,0.005941042,0.060948682,0.001425401,3.29E-06,0.555691659,0.000414972,2.38E-05,7.4,0.00552607,37,0,0,0,0,0,0,0,0,9.75E-06,4.169275426,0.003321033,0.037617095,3.35E-06,0.613221109,1.45E-05,3.556054317,4.16E-07,0.177758298,0,0,7.26E-07,0.177758298,5.09E-06,2.46E-06,0.002197489,0.024571669,3.84E-06,6.56E-07,5.77E-06,1.80E-06,0,0,0,0,0,0,69
FLK,FK,,,,,,,,,,,,,,,,,,,,,,,,,6.29E-07,,Americas,Latin America and the Caribbean,America,Falkland Islands,Caribbean/American isl.,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,,,1.33E-09,,,,,,,,-3,America,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.74E-05,2.70E-05,5.67E-06,2.7227211,,,0.013191478,1.61E-05,2.7227211,,0,0,,0,0,0,0,0,0,0,0,0,7.31E-06,3.12527132,0.014837203,,1.71E-05,3.12527132,0,0,8.02E-07,0.343202919,1.88E-06,0.343202919,0,0,6.36E-06,3.07E-06,,,1.80E-05,3.07E-06,,,0,0,0,0,0,0,83
FRA,FR,22,0.013832203,55.70168939,18,0.020514508,66.93232992,,,,,30,53.85,0.0080026,312.3447133,43,40.97,2.14108,190.9599,31,42.54,3.104121,241.9387,25,51.65,0.0252393,404.1754,Europe,Western Europe,Europe,France,Europe,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,49.9,0.022453358,350.5328628,30,47.875,0.030528449,342.9477349,1,1,1,Europe,1,1,12500,0.050183593,3256,4924,1959122490,571,0,90.5,29,60.2,-15.3,23,19.780975,57.452732,4024403700,12603,0.27,13865,3678,13865000000,3678000000,17,45806521451,82994078148,45533015811,69586271037,1.14657E+11,9932.102,3853.994,10341,0.0551054,0.3254055,3443.553,0.1396905,6.8417,0.4895003,,32.08412989,0.01318402,0.170970807,0.209979967,6381.459066,6067.593181,313.865885,33129.59777,23927.6711,9201.926671,525.4192237,907.9211882,0.027760096,0.028099757,0.068740731,33024.64723,0.039610903,0.143252346,0.011832733,0.031419003,5305.742676,0.006363891,0.088970172,27718.90455,0.033247012,80508,0.008775426,4215.977539,0,0.024964757,4215.977539,0,0,0,0.047304709,20236.18133,0.026576022,0.086123642,0.032176116,5884.230957,0.058601415,14351.95038,0.010498726,4491.183105,0.024558661,4491.183105,0,0,0.085599131,0.041336758,0.054082559,0.189269746,0.043011866,0.007343155,0.108888585,0.033993603,0.009606359,0.004639016,0.027172616,0.004639016,0,0,76
FRO,FO,,,,,,,,,,,,,,,,,,,,,,,,,2.21E-05,,Europe,Northern Europe,Europe,Faroe Islands,Europe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,,,3.31E-05,,,,,,1,1,0,Europe,0,0,,,5,5,147243.7813,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.90E-06,5.06E-06,3.52E-06,1.690727353,0.002600237,0.008607977,0.00053024,1.00E-05,1.690727353,0.002600237,0,0,0,0,2.80E-05,13.46192745,3.78,4.59E-05,7.744913101,1.84E-05,5.717014348,21,2.50E-06,1.068399787,0.000397539,,5.84E-06,1.068399787,0,0,9.22E-05,39.45450803,5.34E-05,9.768872261,0.000121211,29.68563577,1.40E-06,6.76E-07,,,3.96E-06,6.76E-07,,,4.18E-05,2.02E-05,4.83E-05,8.24E-06,3.83E-05,1.19E-05,23
FSM,FM,,,,,,,,,,,,,,,,,,,,,,,,,2.83E-07,,Oceania,Micronesia,Pacific,Micronesia,Oceania,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,2.11E-05,,,,,,3,2,11,Pacific,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.13E-07,1.21E-07,1.02E-06,0.489339322,0.003793967,0.03673418,0.001217467,2.90E-06,0.489339322,0.003793967,0,0,0,0,0,0,0,0,0,0,0,0,6.27E-07,0.26801905,0.005750702,0.024879122,1.47E-06,0.26801905,0,0,0,0,0,0,0,0,8.34E-07,4.03E-07,0.006612477,0.036200604,2.36E-06,4.03E-07,,,0.000321661,0.000155334,3.09E-06,5.28E-07,0.000495876,0.000154806,68
