iso3,year,fsi_indicator_si01,fsi_indicator_si02,fsi_indicator_si03,fsi_indicator_si04,fsi_indicator_si05,fsi_indicator_si06,fsi_indicator_si07,fsi_indicator_si08,fsi_indicator_si09,fsi_indicator_si10,fsi_indicator_si11,fsi_indicator_si12,fsi_indicator_si13,fsi_indicator_si14,fsi_indicator_si15,fsi_indicator_si16,fsi_indicator_si17,fsi_indicator_si18,fsi_indicator_si19,fsi_indicator_si20
URY,2025,54.0,50.0,0.0,25.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,80.0,37.5,80.0,40.0,100.0,15.0,26.293103448275865,0.0,59.5
USA,2025,31.0,100.0,100.0,75.0,100.0,100.0,100.0,100.0,100.0,90.0,75.0,15.0,0.0,30.0,10.0,80.0,17.32,100.0,100.0,48.0
VCT,2025,60.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,100.0,100.0,100.0,100.0,75.0,100.0,80.0,0.0,44.61,68.36206896551724,0.0,71.0
VEN,2025,63.0,75.0,0.0,100.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,80.0,0.0,0.0,90.0,80.0,60.29,100.0,100.0,67.5
VGB,2025,21.0,100.0,0.0,75.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,75.0,100.0,100.0,100.0,45.59,56.37931034482759,0.0,57.5
VIR,2025,31.0,100.0,0.0,75.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,55.0,0.0,80.0,90.0,100.0,17.32,100.0,100.0,55.5
VNM,2025,86.0,50.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,80.0,75.0,40.0,60.0,100.0,56.05,100.0,0.0,61.5
VUT,2025,41.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,70.0,100.0,43.3,58.793103448275865,0.0,17.5
WSM,2025,40.0,100.0,100.0,75.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,80.0,100.0,100.0,50.0,100.0,25.82,58.96551724137931,0.0,57.5
XXK,2025,40.0,50.0,0.0,100.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,80.0,37.5,50.0,60.0,100.0,54.33,100.0,0.0,16.0
ZAF,2025,21.0,75.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,30.0,75.0,50.0,20.0,100.0,20.33,0.0,0.0,39.5
