iso_partner,partner_jurisdiction,2016,2017,2018,2019,2020,2021,2022
AUT,Austria,0.08548856901956846,0.830301155769623,0.5531490902462488,0.5109840114236901,0.1437913275977212,0.43913611400000374,0.9259034417607872
BEL,Belgium,7.494011846064192,19.00627455221481,15.293481541657941,22.487295172654434,1.361325312737863,3.3235708611592685,1.1156911140296215
BGR,Bulgaria,0.021113416187421453,0.07908913126589463,0.07006467512819271,0.07059250861655664,0.026255520399030643,0.05357307291540125,0.02274773599153032
CYP,Cyprus,0.35760641331830334,0.337858821243213,0.34814220048134487,0.34239958041062046,0.20763085817653476,0.3003222447525908,0.42183198696286145
CZE,Czechia,0.06322848872776494,0.1858161157396485,0.366066486254624,0.25466982146945943,0.28324246113057217,0.4365623842418171,0.32551946159815787
DEU,Germany,1.9107644223568467,4.808283108865232,10.78863853427503,7.651745725819284,5.97437566990416,16.3304654318482,2.8951745846690953
DNK,Denmark,0.07848978528858758,0.28887899447795873,0.23077412143080928,0.237838559864323,0.1873616959741754,0.16888480126230504,0.1614183726294807
ESP,Spain,0.4103003138835961,1.8761853312798902,4.256263863152551,4.475786144089204,4.872333653052351,4.529958159886457,5.025419494545592
EST,Estonia,0.4824230015189657,0.45227827087208367,0.4889271360432761,0.4277518288159459,0.4970801453283835,0.4459852934768526,0.36887840036673036
FIN,Finland,0.1299781770110061,0.1362211361304059,0.1754074140983629,0.5731265230340025,0.543516175437892,0.234214380045463,0.17698008181972175
FRA,France,1.4715844249443144,7.631721253643014,8.59769480477235,10.524958263917972,4.382234811013664,6.478671468615969,18.335536733221293
GRC,Greece,0.31998175108653043,1.390363789603303,0.1623622664540551,0.6104346297333917,0.02561169701636861,0.13732575679646336,0.12071247779716125
HRV,Croatia,0.15237295013225916,0.3275930347045864,0.21500861158559006,0.31911816445125657,0.1490133363762827,0.2380033567609116,0.14356289666774116
HUN,Hungary,0.04237324025846104,0.1325038816959892,0.15815182079576692,0.10469941823519244,0.06888838500387133,0.09857120662907676,0.26268750955327347
IRL,Ireland,0.5171716156431878,0.05056573886495837,2.532734998412765,0.08389589715513071,1.6714322383314915,2.366273938918505,3.651417819055106
ITA,Italy,3.572655197131407,2.1048751645363355,2.367388363009189,2.3526109048625377,1.5580145913073067,3.4261600529938065,1.9837093843999472
LTU,Lithuania,0.05214306857329219,0.08724416576166993,0.09235486798584128,0.07676595136250507,0.0633027328072318,0.11991743455051455,0.10513285196492861
LUX,Luxembourg,0.8814357850618998,3.3798638896464146,0.0034082081986243945,0.032636435427581906,0.1751316217820969,0.7073165025554383,1.0098027461891332
LVA,Latvia,0.07861107196002917,0.15370250946035405,0.1331464647645549,0.25246997545669136,0.10885803255082811,0.19969104090094986,0.09978304853227364
MLT,Malta,0.00210919413151749,0.011186373137580174,0.029577821093217528,0.010438080971665077,0.003222908851142117,0.0013819023450286256,0.08093843796969089
NLD,Netherlands,0.0,2.294006592266778,0.4966226953434888,2.7205817996702835,3.22928037147046,1.9920790831340638,3.119582090515959
POL,Poland,1.0529695078934562,1.641072117849811,1.7037971665231875,1.97462904667972,0.5769551914978495,0.9649435480261684,1.3700645042008606
PRT,Portugal,0.38546321810237444,0.30076286371880745,0.32835907812824816,0.7084223857944439,0.9323168809169532,1.074435921914219,0.5366398977231072
ROU,Romania,0.3369572728803929,0.7059508286024215,0.8458585588459655,1.2400549644272865,0.6024059917550532,0.9568312175918928,0.5647339552683435
SVK,Slovak Republic,0.0761880057959038,0.2869743367991948,0.2270931908660495,0.35859846607994017,0.08072875075409869,0.12644892990393042,0.09023746417113652
SVN,Slovenia,0.0386295623831582,0.07748092013502503,0.11299896023717347,0.06443170795996014,0.046513086387505266,0.02776496640185631,0.0651779744625443
SWE,Sweden,0.17188595778088314,0.6954326114827226,0.4735076854695637,0.6520051487693193,0.7293774537267015,0.8808269936006002,1.2056841466159176
