iso_partner,partner_jurisdiction,2016,2017,2018,2019,2020,2021,2022
AUT,Austria,0.46438659647020375,1.4832542575087837,1.4846026674461537,1.3943673499338554,0.5081633162569276,1.0593077967057658,1.7484714988770687
BEL,Belgium,9.208235464534841,21.23659447310813,16.03600064341242,23.08116363433207,1.8462825443035475,4.767797546574532,5.293176400739353
BGR,Bulgaria,0.03767479432885865,0.16852218887802795,0.12782030929480476,0.1311905932953039,0.0716530153714008,0.1810349576305791,0.16340772651801944
CYP,Cyprus,0.4878752119830877,0.6581150969501112,0.6463373123367646,0.6979673741138729,0.5462608020268538,0.5948685620541571,0.6121057095733452
CZE,Czechia,0.13142753990953257,0.6267910200911204,0.6876791240011731,0.6454741552216587,0.8348395293108178,1.1202524829714953,1.1412343729051686
DEU,Germany,7.247641273249532,11.927583182495463,16.372831986628533,12.045392224546127,15.849468680719179,25.46482093077676,12.331390814732336
DNK,Denmark,0.12801434484789176,0.6094357497044929,0.5013027554750861,1.8297830194585314,0.6513408716628089,0.837650371864122,1.5958884863291498
ESP,Spain,1.526505206304101,3.239842123974045,5.0852019738712855,6.683756317427542,6.429397811368084,7.624207710886727,7.336250933638764
EST,Estonia,0.6603587140310155,0.8830675954749522,0.7686766072610451,0.8540538470448026,0.7758629530321327,4.460328163285465,0.6674957939882956
FIN,Finland,0.19313594232911319,0.3987211607373581,5.23345158767068,0.9290971614482796,0.6326169458533574,0.6950465405726621,0.7233591319395393
FRA,France,3.1960180915472223,14.695491286585197,13.058198085380383,14.319899039421694,9.415917457658168,12.990046598438202,21.932300418260187
GRC,Greece,0.35618827963715805,1.5459351415610785,0.21307168748834515,0.6480079987984972,0.09330393299726032,0.27121857746226063,0.2611130777508192
HRV,Croatia,0.2252158373534495,0.986580435631965,0.4611204252457101,0.42201384488720683,0.18473249820943372,0.8368605079478008,0.30717827418152394
HUN,Hungary,0.07912290322408086,1.3780672752508065,0.3172533654858787,0.22311457946705432,0.13441367715983563,0.43610492916811355,0.5317510063354354
IRL,Ireland,0.6132903240264813,0.28725439204258213,2.6873884945929003,0.509072435218611,2.0231447186054754,3.0917026337269577,4.351073860398582
ITA,Italy,5.246187252278246,3.556793370635345,3.662876032172135,4.134493392947408,3.184269042948687,6.557154675274359,5.8328559680839644
LTU,Lithuania,0.07956303161202818,0.15218805900594698,0.14011483853405507,0.12509622862511657,0.07568681757432363,0.2171225269569891,0.17938937652020795
LUX,Luxembourg,2.30163421508944,3.765515866959924,1.7835522564564916,7.0063797036093485,11.790672761441076,21.653845055577133,5.8182653915596525
LVA,Latvia,0.12085306952123127,0.521940537746153,0.3597373994946729,0.5068299400646917,0.1402459061085219,6.297872611258598,0.28462179441064384
MLT,Malta,0.004664208875684087,0.0751700654497843,0.051873436507049786,0.03521204295073325,1.4663023792470555,0.04494737002888202,0.09992185347319313
NLD,Netherlands,0.4340905690906048,4.923443661043195,2.8994953899918023,4.774453335476607,4.313380164208784,11.72412950226897,5.7548478185219505
POL,Poland,1.4578378346967769,2.9306280077308293,2.4764570393788556,2.850005899390016,1.526999376627241,3.214252196618064,3.151882174338753
PRT,Portugal,0.6965865822707912,0.5947331907787214,0.5741950120091437,1.0933732122521551,1.137222100858006,1.55064694098582,0.8565761141975363
ROU,Romania,0.5619583451049679,1.4849114150136062,1.2372301940144372,1.607683337208217,0.8831991972211072,1.8674955223947691,1.282598671209802
SVK,Slovak Republic,0.130602847201268,0.6892167802370449,0.45839118707008936,0.5853029101440607,0.2889132592720551,0.5065515804936153,0.29092554258598124
SVN,Slovenia,0.04953923080320466,0.16565898564948814,0.15325476818332623,0.14299773298414464,0.10690362517531436,0.10172547153268828,0.14445080567667315
SWE,Sweden,0.36258124062621433,1.9309815005036965,3.2438532588874334,1.436574560951918,1.3938829948595175,5.313005447445165,3.868416707398414
