iso_partner,partner_jurisdiction,net_bn,reported_bn,etr,etr_pct,role
NLD,Netherlands,311.75172908892205,765.8010853018924,0.1230347594890039,12.30347594890039,winner_haven
IRL,Ireland,235.9854142464939,496.29622226458025,0.04992212160159417,4.992212160159417,winner_haven
DNK,Denmark,77.96987646039943,282.434250052334,0.07696610380791066,7.696610380791066,winner_haven
SWE,Sweden,44.57830217057102,412.1919167124839,0.13277499468338533,13.277499468338533,winner_haven
MLT,Malta,14.428630889095604,46.19905507169198,0.024662227389891486,2.4662227389891487,winner_haven
AUT,Austria,-0.6233111947173917,190.11620442511347,0.14107323169723704,14.107323169723704,loser_victim
SVN,Slovenia,-2.207744417988631,14.528441889402053,0.14969220082288442,14.969220082288443,loser_victim
SVK,Slovak Republic,-2.3247657567855766,60.590912823534,0.3545730321345916,35.45730321345916,loser_victim
LTU,Lithuania,-3.9918367592582595,11.886326118021836,0.12039932174166154,12.039932174166154,loser_victim
HRV,Croatia,-4.5209179306387774,78.56610167446452,0.16400934559194452,16.400934559194454,loser_victim
BGR,Bulgaria,-4.932686326873554,22.68882148213803,0.09150787220439971,9.150787220439971,loser_victim
PRT,Portugal,-6.556421877627626,79.07692095054423,0.11603944410504917,11.603944410504917,loser_victim
GRC,Greece,-7.327730535120671,19.958197942467088,0.16227571927607198,16.227571927607197,loser_victim
CYP,Cyprus,-11.16334728866548,28.098997922705735,0.03469128647805644,3.4691286478056442,loser_victim
CZE,Czechia,-13.202128721393695,99.5935078032983,0.14889647731637715,14.889647731637714,loser_victim
FIN,Finland,-16.49628718603831,115.59414381168827,0.1768270077329641,17.682700773296407,loser_victim
HUN,Hungary,-18.635272127665928,49.8201814553673,0.07515201379372795,7.515201379372795,loser_victim
LVA,Latvia,-33.53826064751607,57.22795295105704,0.054385791991457315,5.438579199145732,loser_victim
EST,Estonia,-46.42122153856837,8.58154667662526,0.018212453777521287,1.8212453777521287,loser_victim
ROU,Romania,-54.60862140405036,69.19270150183236,0.13361935510184092,13.361935510184091,loser_victim
LUX,Luxembourg,-54.95328165046313,-17.314138995663093,0.02829879622869866,2.829879622869866,loser_victim
POL,Poland,-81.7761859426425,158.77535099715217,0.1621379405520468,16.21379405520468,loser_victim
ITA,Italy,-85.88886358768387,466.9277734724051,0.20928859158403718,20.928859158403718,loser_victim
ESP,Spain,-131.61419702742472,381.52407200520173,0.06189513748538106,6.189513748538106,loser_victim
BEL,Belgium,-250.64775154721326,235.5796488872255,0.19394819274165906,19.394819274165904,loser_victim
FRA,France,-275.8540107576453,819.3623496845106,0.15027836496268396,15.027836496268396,loser_victim
DEU,Germany,-276.06910504495863,1273.6267222605586,0.1682279029583412,16.82279029583412,loser_victim
