# Corporate Tax Haven Index (CTHI) 2025 Haven Scores, by jurisdiction (iso3).
# Source: Tax Justice Network data portal, dataset dp_cthi_results, variable
# cthi_2025_score (https://data.taxjustice.net/), retrieved 2026-07-18.
# Drives the TAX_HAVENS_REPRESENTATION rule in config.py (>= 65 leg).
iso3,cthi_2025_score
ABW,70.5961400000000000
AIA,100.0000000000000000
AND,62.0224114285714240
ARE,83.7714285714285700
ARG,32.1539171428571400
AUT,52.3201587755102100
BEL,61.7052457142857100
BGR,55.9543199999999960
BHS,100.0000000000000000
BMU,100.0000000000000000
BRA,38.4585697959183650
BWA,52.8636028571428600
CHE,88.8856600000000000
CHN,61.5560551020408160
CRI,70.7126465306122500
CUW,72.1574914285714300
CYM,100.0000000000000000
CYP,79.4469485714285800
CZE,54.5366057142857100
DEU,55.4050559183673500
DNK,48.5105857142857100
ECU,39.3448481632653040
ESP,59.6792534693877500
EST,69.5656914285714300
FIN,59.6786857142857100
FRA,65.4450934693877600
GBR,59.2593342857142800
GGY,100.0000000000000000
GHA,53.7030518367347000
GIB,67.1467314285714300
GMB,45.3983493877551000
GRC,49.9950914285714300
HKG,77.7581771428571400
HRV,54.9882208163265300
HUN,68.5716885714285700
IMN,100.0000000000000000
IRL,77.6091485714285600
ITA,47.6335779591836750
JEY,100.0000000000000000
KEN,55.5584400000000000
LBN,72.2982314285714300
LBR,66.5687089795918300
LIE,67.0119685714285700
LTU,56.4991428571428500
LUX,69.3316771428571500
LVA,71.1960942857142800
MAC,57.1263657142857100
MCO,65.9245228571428600
MEX,58.2094575510204100
MLT,76.8536142857142900
MSR,63.8079542857142900
MUS,79.5768000000000000
NLD,73.9513000000000000
PAN,72.2261453061224500
PER,42.4922897959183700
POL,53.5984885714285750
PRT,44.3066171428571500
ROU,57.6395742857142900
SGP,86.6456742857142900
SMR,59.7346530612244800
SVK,51.2002628571428500
SVN,46.6371208163265300
SWE,57.4119714285714300
SYC,70.2454032653061200
TCA,100.0000000000000000
TWN,49.1774791836734700
TZA,47.4366073469387700
USA,44.6801771428571400
VGB,100.0000000000000000
ZAF,46.7285759183673300
