# Canonical GDP: World Bank WDI indicator NY.GDP.MKTP.CD (GDP, current US$),
# all reporting countries, 2016-2022. Fetched 2026-07-19 from
# https://api.worldbank.org/v2/country/all/indicator/NY.GDP.MKTP.CD . WB aggregate
# rows dropped (iso3 filtered against pycountry). SINGLE canonical GDP for the repo
# (CbCR pipeline + extractive WB-GDP reference). Refresh: re-run src/_fetch_canonical_gdp.py.
iso3,year,gdp_current_usd
BOL,2022,50959081953.6903
BRA,2016,1795693482853.01
BRA,2017,2063514977365.65
BRA,2018,1916933898010.99
BRA,2019,1873288205059.69
BRA,2020,1476107231310.49
BRA,2021,1670647398904.9
BRA,2022,1951923942083.32
BRB,2016,5679029450
BRB,2017,5847381600
BRB,2018,6001101550
BRB,2019,6166710800
BRB,2020,5403246950
BRB,2021,5948900600
BRB,2022,6886644900
BRN,2016,11400266044.6651
BRN,2017,12128168045.1245
BRN,2018,13566908391.0895
BRN,2019,13469235364.7032
BRN,2020,12005799653.9835
BRN,2021,14006496617.4458
BRN,2022,16681536466.7183
BTN,2016,2357504760.78592
BTN,2017,2591358009.20276
BTN,2018,2583335721.85904
BTN,2019,2735683570.46155
BTN,2020,2457604333.90927
BTN,2021,2768802960.11204
BTN,2022,2898227743.75576
BWA,2016,15082637184.0496
BWA,2017,16105155856.7708
BWA,2018,17031943186.1353
BWA,2019,16725908148.5481
BWA,2020,14960251607.8135
BWA,2021,18750182236.2211
BWA,2022,20321150599.1523
CAF,2016,1825018144.65595
CAF,2017,2072349972.6818
CAF,2018,2220979146.11241
CAF,2019,2221301351.43918
CAF,2020,2326720900.38047
CAF,2021,2516498412.46384
CAF,2022,2382618615.01694
CAN,2016,1527996250640.92
CAN,2017,1649269496514.62
CAN,2018,1725330736237.69
CAN,2019,1743728952156.85
CAN,2020,1655686966881.99
CAN,2021,2022377950896.78
CAN,2022,2200562785046.32
CHE,2016,698607778794.566
CHE,2017,706660443624.485
CHE,2018,740766531453.991
CHE,2019,736384764156.877
CHE,2020,756096180222.082
CHE,2021,840710023481.35
CHE,2022,858479038993.75
CHL,2016,249344863928.438
CHL,2017,276154259981.097
CHL,2018,295857562991.709
CHL,2019,278308438545.118
CHL,2020,254103710483.324
CHL,2021,315507493783.262
CHL,2022,301099244104.003
CHN,2016,11456024084962
CHN,2017,12537559062282.9
CHN,2018,14147765772963.8
CHN,2019,14560167101283.4
CHN,2020,14996414166715.1
CHN,2021,18201698719564
CHN,2022,18316765021690.2
CIV,2016,48407761036.8238
CIV,2017,52512343996.69
CIV,2018,58522477786.6889
CIV,2019,60382894697.3557
CIV,2020,63027852805.4204
CIV,2021,72794636653.7793
CIV,2022,70922824813.9102
CMR,2016,33814337044.3765
CMR,2017,36098547033.1655
CMR,2018,39955552189.795
CMR,2019,39667757527.6578
CMR,2020,40773241177.0505
CMR,2021,45011937346.8384
CMR,2022,44347206072.5513
COD,2016,38600224214.4728
COD,2017,37537521565.5308
COD,2018,46659954092.4862
COD,2019,46845900350.0332
COD,2020,46691989748.9186
COD,2021,59067289573.5102
COD,2022,70422346142.2023
COG,2016,10931328150.8478
COG,2017,11834473039.3645
COG,2018,14773900288.5135
COG,2019,13976637779.9763
COG,2020,11468687464.0046
COG,2021,14825690210.9157
COG,2022,15817030154.6941
COL,2016,282720100286.228
COL,2017,311866875156.879
COL,2018,334198218098.276
COL,2019,323031701192.84
COL,2020,270348342541.465
COL,2021,318524633225.395
COL,2022,345632492851.448
COM,2016,1012835493.19325
COM,2017,1077439756.59451
COM,2018,1188797449.38584
COM,2019,1195019531.9011
COM,2020,1225039196.61091
COM,2021,1299039312.22277
COM,2022,1279542248.96288
CPV,2016,1849789985.99572
CPV,2017,1996741539.95088
CPV,2018,2205099506.99994
CPV,2019,2252177124.32402
CPV,2020,1821565613.68613
CPV,2021,2051842618.70539
CPV,2022,2247003344.34242
CRI,2016,58847019587.626
CRI,2017,60516044660.7496
CRI,2018,62567765946.2665
CRI,2019,64753504730.018
CRI,2020,62806591554.7345
CRI,2021,65588938787.0243
CRI,2022,71001226360.8008
CUB,2016,91370407900
CUB,2017,96850649700
CUB,2018,100050036100
CUB,2019,103427600000
CUB,2020,107352000000
CUW,2016,3024690167.59777
CUW,2017,3033433240.22346
CUW,2018,3046364804.46927
CUW,2019,3026124134.07821
CUW,2020,2534327597.76536
CUW,2021,2739594357.5419
CUW,2022,3075180837.98883
CYM,2016,4909322237.28895
CYM,2017,5166281305.12522
CYM,2018,5530178440.71376
CYM,2019,5941896607.58643
CYM,2020,5655357984.24218
CYM,2021,6060813808.15072
CYM,2022,6653516041.43929
CYP,2016,21046452117.3759
CYP,2017,22946583375.5506
CYP,2018,25754011492.2204
CYP,2019,26196660680.1176
CYP,2020,25555082266.6429
CYP,2021,30372637513.1352
CYP,2022,31218047043.8386
CZE,2016,198160659303.939
CZE,2017,221563575696.217
CZE,2018,251992360762.236
CZE,2019,256794209028.77
CZE,2020,251109660602.536
CZE,2021,290972714482.313
CZE,2022,301831228325.556
DEU,2016,3536787895179
DEU,2017,3765351626105.89
DEU,2018,4055433215301.96
DEU,2019,3959894794039.21
DEU,2020,3941398957073.94
DEU,2021,4355251953410.78
DEU,2022,4201021706478.62
DJI,2016,2604955228.70117
DJI,2017,2762581334.22612
DJI,2018,2913464658.08768
DJI,2019,3088851450.30694
DJI,2020,3144136196.6228
DJI,2021,3392796953.08939
DJI,2022,3562814908.76149
DMA,2016,612711111.111111
DMA,2017,563355555.555555
DMA,2018,628244444.444444
DMA,2019,644259259.259259
DMA,2020,528944444.444444
DMA,2021,562911111.111111
DMA,2022,623062962.962963
DNK,2016,312181849372.233
DNK,2017,331610593961.988
DNK,2018,355293374912.393
DNK,2019,345401473012.615
DNK,2020,355631021931.621
DNK,2021,406110162088.054
DNK,2022,400114306337.077
DOM,2016,75552902635.7075
DOM,2017,79070274743.1658
DOM,2018,84994732049.3461
DOM,2019,89146130744.723
DOM,2020,78546672406.8291
DOM,2021,94850719516.7127
DOM,2022,113478103598.499
DZA,2016,180763839522.151
DZA,2017,189880896903.073
DZA,2018,194554483655.528
DZA,2019,193459662090.677
DZA,2020,164873415325.201
DZA,2021,186231205262.082
DZA,2022,225581644702.568
ECU,2016,97671433000
ECU,2017,104467486000
ECU,2018,107478961000
ECU,2019,107595830000
ECU,2020,95865473000
ECU,2021,107179074000
ECU,2022,116133121000
EGY,2016,332441717791.411
EGY,2017,248362771739.13
EGY,2018,262588632526.73
EGY,2019,318678815489.749
EGY,2020,383817841547.099
EGY,2021,424671765455.704
EGY,2022,476747720364.742
ESP,2016,1243015667917.12
ESP,2017,1321754088818.83
ESP,2018,1431642809327.06
ESP,2019,1403496387686.27
ESP,2020,1289783836971.21
ESP,2021,1461244901852.69
ESP,2022,1448850658406.62
EST,2016,24561027787.7896
EST,2017,27469461919.1189
EST,2018,31222632740.7247
EST,2019,31873748770.0313
EST,2020,31820771493.8974
EST,2021,37201101170.5847
EST,2022,38226641740.29
ETH,2016,68475871209.607
ETH,2017,76366081766.6667
ETH,2018,83337901071.9697
ETH,2019,91834517113.6386
ETH,2020,98676811061.9985
ETH,2021,109070960370.972
ETH,2022,123140304665.399
FIN,2016,238777818792.608
FIN,2017,253846138440
FIN,2018,273869255596.078
FIN,2019,267014821129.411
FIN,2020,270000311606.226
FIN,2021,294223210496.119
FIN,2022,280253099309.34
FJI,2016,4930213644.36653
FJI,2017,5353469174.47838
FJI,2018,5581425327.44397
FJI,2019,5344907153.46698
FJI,2020,4227719873.3865
FJI,2021,4158873156.17978
FJI,2022,4977861885.60316
FRA,2016,2470407619777.13
FRA,2017,2588868323334.71
FRA,2018,2781576320884.39
FRA,2019,2722793515171.76
FRA,2020,2647926055110.05
FRA,2021,2966433692008.09
FRA,2022,2794788137066.94
FRO,2016,2813278868.78208
FRO,2017,2980057377.87967
FRO,2018,3188600927.46688
FRO,2019,3266432734.22819
FRO,2020,3271813311.5831
FRO,2021,3699551717.10561
FRO,2022,3615241800.50058
FSM,2016,327000000
FSM,2017,361000000
FSM,2018,394000000
FSM,2019,395000000
FSM,2020,372902700
FSM,2021,391601900
FSM,2022,415232900
GAB,2016,14023890265.3665
GAB,2017,14929487485.1623
GAB,2018,16867326401.9626
GAB,2019,16874405465.391
GAB,2020,15342236163.9943
GAB,2021,19444935097.2333
GAB,2022,20440655695.229
GBR,2016,2706807606538.73
GBR,2017,2699118387873.1
GBR,2018,2897028009916.05
GBR,2019,2875710080015.3
GBR,2020,2724001478304.59
GBR,2021,3194559188925.93
GBR,2022,3181244350465.41
GEO,2016,15444548901.9637
GEO,2017,16473125375.0684
GEO,2018,17902544880.6471
GEO,2019,17638337116.9126
GEO,2020,16010869215.68
GEO,2021,18853115588.8106
GEO,2022,24984568959.605
GHA,2016,56144179397.8516
GHA,2017,60385409434.8567
GHA,2018,67259353965.6087
GHA,2019,68352629246.1555
GHA,2020,70008243859.8666
GHA,2021,79514204730.3979
GHA,2022,73919003212.1998
GIN,2016,8595955222.49719
GIN,2017,10324668271.1362
GIN,2018,11857030366.7891
GIN,2019,13442861496.4454
GIN,2020,14088693742.9464
GIN,2021,17069115737.8259
GIN,2022,19910452541.9219
GMB,2016,1484578885.97132
GMB,2017,1504909462.69521
GMB,2018,1670671327.81651
GMB,2019,1813609692.49994
GMB,2020,1812170891.19069
GMB,2021,2014158842.14596
GMB,2022,2204734527.88096
GNB,2016,1245074264.10396
GNB,2017,1469978606.12143
GNB,2018,1554133593.91699
GNB,2019,1596214680.12925
GNB,2020,1705062169.81422
GNB,2021,1907611288.23036
GNB,2022,1856239954.81555
GNQ,2016,11240808847.8878
GNQ,2017,12200913878.9827
GNQ,2018,13097012133.6159
GNQ,2019,11364133549.7478
GNQ,2020,9893816007.7398
GNQ,2021,12215878032.7166
GNQ,2022,13687643435.6249
GRC,2016,193097239005.87
GRC,2017,200381103984.298
GRC,2018,213298873494.394
GRC,2019,207305649887.019
GRC,2020,191362985554.861
GRC,2021,218303801895.326
GRC,2022,217990189600.69
GRD,2016,1061640740.74074
