Country Name,Country Code,Series Name,Series Code,2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024]
Hong Kong SAR China,HKG,GDP (current US$),NY.GDP.MKTP.CD,320860317562.562,341273289534.466,361731070995.726,363074545072.389,344943149590.058,368954169748.818,358679533984.718,381066399066.208,407106738445.069
Hungary,HUN,Population total,SP.POP.TOTL,9759755,9726756,9706964,9694824,9670419,9630932,9605074,9592186,9562314
Hungary,HUN,GDP (current US$),NY.GDP.MKTP.CD,128983560865.293,143335098991.862,161184691013.835,164936682033.992,158468487754.196,183282685440.486,177536698164.902,214022571311.24,222904723252.11
Iceland,ISL,Population total,SP.POP.TOTL,335439,343400,352721,360563,366463,372520,382003,393349,404610
Iceland,ISL,GDP (current US$),NY.GDP.MKTP.CD,20793168030.9524,24728285177.4603,26260850582.0687,24681343649.2952,21629953194.0659,25770339317.3897,28696453180.1657,31452223861.9091,33462807982.85
India,IND,Population total,SP.POP.TOTL,1343944296,1359657400,1374659064,1389030312,1402617695,1414203896,1425423212,1438069596,1450935791
India,IND,GDP (current US$),NY.GDP.MKTP.CD,2294796885663.16,2651474262755.45,2702929641648.74,2835606256558.19,2674851578587.27,3167270623260.47,3346107287730.93,3638489096033.86,3912686168582.21
Indonesia,IDN,Population total,SP.POP.TOTL,264627418,267346658,269951846,272489381,274814866,276758053,278830529,281190067,283487931
Indonesia,IDN,GDP (current US$),NY.GDP.MKTP.CD,931877364037.698,1015618744159.73,1042271532988.63,1119099871350.2,1059054842698.48,1186509691086.73,1319101183380.15,1371169301563.62,1396300098190.97
Iran Islamic Rep.,IRN,Population total,SP.POP.TOTL,83812228,85026754,86117998,87051648,87723443,88455488,89524246,90608707,91567738
Iran Islamic Rep.,IRN,GDP (current US$),NY.GDP.MKTP.CD,459042684192.698,489168731811.147,398880231367.268,333519146339.191,262186179355.944,383436202446.695,394362621793.035,404625655076.275,436906331671.859
Iraq,IRQ,Population total,SP.POP.TOTL,38469627,39337353,40265624,41192171,42116605,43071211,44070551,45074049,46042015
Iraq,IRQ,GDP (current US$),NY.GDP.MKTP.CD,166743557747.671,187217660050.676,227367469034.031,233636097800.338,180898797516.874,209691945713.103,287372232137.931,268881051643.549,279641257615.385
Ireland,IRL,Population total,SP.POP.TOTL,4762722,4827445,4898022,4976456,5039747,5110585,5212836,5307600,5380257
Ireland,IRL,GDP (current US$),NY.GDP.MKTP.CD,305733136180.907,348532394023.595,395461216460.418,407124824064.995,436555518400.451,531306516907.984,548570250341.987,551394889339.778,577389475009.922
Isle of Man,IMN,Population total,SP.POP.TOTL,83466,83609,83805,83957,84064,84106,84132,84165,84160
Isle of Man,IMN,GDP (current US$),NY.GDP.MKTP.CD,6846377563.00683,6979788333.50279,7491649455.92717,7314967866.28289,6684225641.02564,7931193222.06405,7431257410.92713,..,..
Israel,ISR,Population total,SP.POP.TOTL,8546000,8713300,8882800,9054000,9215100,9371400,9557500,9849000,9974400
Israel,ISR,GDP (current US$),NY.GDP.MKTP.CD,321940971558.016,358451839052.991,376299083108.497,400645216358.857,410768352657.612,489851549972.347,525181008025.57,512184638998.974,540379921261.681
Italy,ITA,Population total,SP.POP.TOTL,60115223,60002252,60148658,59729081,59438851,59133173,59013667,58993475,58986023
Italy,ITA,GDP (current US$),NY.GDP.MKTP.CD,1887111188176.93,1970720904584.71,2099435266458.67,2019606796583.53,1907481094079.23,2179207773596.09,2104067630319.46,2304605139862.79,2372774547793.12
Jamaica,JAM,Population total,SP.POP.TOTL,2809915,2815764,2820097,2823271,2830739,2837682,2839144,2839786,2839175
Jamaica,JAM,GDP (current US$),NY.GDP.MKTP.CD,14077096676.6213,14808985132.7722,15730792876.2656,15830766531.1474,13812421835.7369,14657586159.4316,17097760686.7775,19423355367.2372,19930288337.028
Japan,JPN,Population total,SP.POP.TOTL,127076000,126972000,126811000,126633000,126261000,125681593,125124989,124516650,123975371
Japan,JPN,GDP (current US$),NY.GDP.MKTP.CD,5003677627544.24,4930837369151.42,5040880939324.86,5117993853016.51,5054068005376.28,5039148168861.22,4262463317796.53,4213167237905.83,4026210821146.81
Jordan,JOR,Population total,SP.POP.TOTL,10006367,10234226,10462306,10671891,10865228,11066356,11256263,11439213,11552876
Jordan,JOR,GDP (current US$),NY.GDP.MKTP.CD,39892551126.7606,41608435915.493,43370860704.2254,44503006338.0282,43700383098.5916,46296100140.8451,48764963380.2817,51088476338.0282,53352289577.4648
Kazakhstan,KAZ,Population total,SP.POP.TOTL,18363600,18651931,18932727,19209555,19482117,19743603,20034609,20330104,20592571
Kazakhstan,KAZ,GDP (current US$),NY.GDP.MKTP.CD,137278320084.171,166805788827.233,179339977690.485,181667184854.501,171082365861.423,197112255360.612,225496328925.494,261840101059.923,288406138230.669
Kenya,KEN,Population total,SP.POP.TOTL,48139687,49197766,50207107,51202827,52217334,53219166,54252461,55339003,56432944
Kenya,KEN,GDP (current US$),NY.GDP.MKTP.CD,74815144163.8931,82036510877.2599,92202979985.2863,100378436207.371,100657505750.545,109703658904.994,114448978152.637,108038588970.595,124498691699.125
Kiribati,KIR,Population total,SP.POP.TOTL,118478,120275,122084,123921,126099,128377,130469,132530,134518
Kiribati,KIR,GDP (current US$),NY.GDP.MKTP.CD,206467818.503227,222875736.343445,233514717.441266,216985388.322754,220897998.732518,285259893.983064,270040456.961045,288610732.190775,307862546.789627
Korea Dem. People's Rep.,PRK,Population total,SP.POP.TOTL,25698326,25817709,25931147,26037632,26136312,26232534,26328845,26418204,26498823
Korea Dem. People's Rep.,PRK,GDP (current US$),NY.GDP.MKTP.CD,..,..,..,..,..,..,..,..,..
Korea Rep.,KOR,Population total,SP.POP.TOTL,51217803,51361911,51585058,51764822,51836239,51769539,51672569,51712619,51751065
Korea Rep.,KOR,GDP (current US$),NY.GDP.MKTP.CD,1499679823909.61,1623074183501.9,1725373496825.43,1651422932447.77,1644312831906.17,1818432106880.04,1673916511799.71,1712792854202.37,..
Kosovo,XKX,Population total,SP.POP.TOTL,1777568,1791019,1797086,1788891,1790151,1786079,1768096,1682668,1527324
Kosovo,XKX,GDP (current US$),NY.GDP.MKTP.CD,6682677289.98994,7180764703.35718,7878759714.82322,7899737577.47286,7717145217.81247,9413403724.01899,9354903061.8898,10468220306.907,11148602232.663
Kuwait,KWT,Population total,SP.POP.TOTL,4004096,4154812,4323515,4442316,4400267,4360865,4589643,4853420,4973861
Kuwait,KWT,GDP (current US$),NY.GDP.MKTP.CD,109406674087.947,120687539675.517,138646316321.596,140856394870.02,111045470461.207,148350671614.185,183502046669.15,165384407267.056,160227273001.348
Kyrgyz Republic,KGZ,Population total,SP.POP.TOTL,6175338,6306696,6444079,6590211,6726596,6851224,6975220,7099750,7224614
Kyrgyz Republic,KGZ,GDP (current US$),NY.GDP.MKTP.CD,6813095379.1187,7702938379.42036,8271106235.41552,9371275264.36735,8270468614.24051,9249133946.26531,12134931017.9465,15180842369.4894,17478259659.2625
Lao PDR,LAO,Population total,SP.POP.TOTL,6908802,7018147,7128045,7237636,7346533,7453194,7559007,7664993,7769819
Lao PDR,LAO,GDP (current US$),NY.GDP.MKTP.CD,15912501722.6143,17071155481.4994,18141641089.7963,18740561512.5555,18981805250.2424,18827148530.9347,15468785203.7532,15843155731.2552,16502933121.0806
Latvia,LVA,Population total,SP.POP.TOTL,1959537,1942248,1927174,1913822,1900449,1884490,1879383,1877445,1862441
Latvia,LVA,GDP (current US$),NY.GDP.MKTP.CD,27117105059.5075,29391059767.4259,33247935477.3576,33099503950.847,33379927434.6149,38183326784.9335,38014713595.7686,42572151720.138,43520773851.1219
Lebanon,LBN,Population total,SP.POP.TOTL,6323060,6160128,5984119,5794594,5702398,5718122,5744489,5773493,5805962
Lebanon,LBN,GDP (current US$),NY.GDP.MKTP.CD,51147308774.1294,53027680685.9038,54901519155.5556,51605959131.2741,31712128253.7961,23131941556.7843,20992421948.8081,20078620356.9931,..
Lesotho,LSO,Population total,SP.POP.TOTL,2130422,2157110,2183603,2209405,2235727,2261542,2286110,2311472,2337423
Lesotho,LSO,GDP (current US$),NY.GDP.MKTP.CD,2114426452.2019,2306741672.29006,2556247291.99785,2390702295.82777,2053699870.07191,2412130021.64641,2354980884.15271,2117962430.3041,2271541845.62002
Liberia,LBR,Population total,SP.POP.TOTL,4755608,4848925,4944726,5043721,5149463,5259323,5373294,5493031,5612817
Liberia,LBR,GDP (current US$),NY.GDP.MKTP.CD,3398419600,3390703400,3422754800,3319596500,3176126300,3513049500,4001047000,4390000000,4750000000
Libya,LBY,Population total,SP.POP.TOTL,6632126,6738770,6849055,6951033,7045399,7135175,7223805,7305659,7381023
Libya,LBY,GDP (current US$),NY.GDP.MKTP.CD,49912073701.298,67157452181.7738,76686029772.1483,69254496471.6938,46854285440.642,35217995647.2862,43246297921.8499,45096462972.4014,46636278901.9016
Liechtenstein,LIE,Population total,SP.POP.TOTL,37716,37962,38246,38563,38901,39182,39493,39850,40197
Liechtenstein,LIE,GDP (current US$),NY.GDP.MKTP.CD,6237302033.50132,6474308717.85289,6692620691.84146,6436467007.11932,6405870210.32293,7912602342.18895,7378156576.2354,8287748667.20832,..
Lithuania,LTU,Population total,SP.POP.TOTL,2877325,2842639,2819200,2811089,2810369,2808380,2831639,2871585,2888055
Lithuania,LTU,GDP (current US$),NY.GDP.MKTP.CD,42970749245.0336,47756764508.446,54261795148.5372,55122066225.796,57412038533.2718,67037321008.9679,71033884499.7824,79789877416.1681,84869215513.3648
Luxembourg,LUX,Population total,SP.POP.TOTL,582014,596336,607950,620001,630419,640064,653103,666430,677717
Luxembourg,LUX,GDP (current US$),NY.GDP.MKTP.CD,62216885435.9488,65712180342.9836,71085623495.1145,69872035113.6469,73670782100.3909,86386759695.1653,80801680397.0139,87574021091.7525,93197329011.7078
Macao SAR China,MAC,Population total,SP.POP.TOTL,652500,648400,658900,672000,685400,682500,677300,678800,687000
Macao SAR China,MAC,GDP (current US$),NY.GDP.MKTP.CD,45070808688.9611,50383871120.8733,55190661339.7796,55082293844.1008,25343525935.8358,30969334705.0515,24999113475.8368,45803067940.4072,50183212761.3484
Madagascar,MDG,Population total,SP.POP.TOTL,26099952,26788375,27494926,28219554,28953556,29691083,30437261,31195932,31964956
Madagascar,MDG,GDP (current US$),NY.GDP.MKTP.CD,11848613858.442,13176313593.5509,13760033282.2925,14104664678.5063,13051441203.9474,14354731964.331,15325603272.6073,15869945477.855,17420814800.7045
Malawi,MWI,Population total,SP.POP.TOTL,17557739,18039715,18528081,19025752,19533888,20047258,20568728,21104482,21655286
Malawi,MWI,GDP (current US$),NY.GDP.MKTP.CD,7909868618.46366,8943543793.5839,9879231591.52434,11051865579.8121,11769313597.8545,12378129750.9872,12429060150.742,12712150082.0792,11008925322.5134
Malaysia,MYS,Population total,SP.POP.TOTL,31789685,32355644,32910967,33440596,33889558,34282399,34695493,35126298,35557673
Malaysia,MYS,GDP (current US$),NY.GDP.MKTP.CD,301256033870.334,319109094160.343,358788845712.53,365177721021.516,337456163961.211,373784823672.946,407605841348.235,399705137434.074,421972102253.57
Maldives,MDV,Population total,SP.POP.TOTL,443308,458287,473099,487731,502118,516154,524106,525994,527799
Maldives,MDV,GDP (current US$),NY.GDP.MKTP.CD,4409942623.85538,4816426256.52914,5404344162.69888,5726094799.37709,3712604583.36665,5252457369.55218,6177118113.94637,6590894301.9579,6975146349.42592
Mali,MLI,Population total,SP.POP.TOTL,19191289,19813011,20442030,21068405,21713836,22388630,23072640,23769127,24478595
Mali,MLI,GDP (current US$),NY.GDP.MKTP.CD,16743796799.8329,18308362040.0521,20368015381.2413,20477421884.5414,20698560938.7775,22999245262.6719,22374051349.9445,24621545564.8753,26588067731.1692
Malta,MLT,Population total,SP.POP.TOTL,454505,467106,483903,503912,515490,518150,531113,552747,574346
Malta,MLT,GDP (current US$),NY.GDP.MKTP.CD,12025782885.2772,14161366732.7153,16153779511.1559,16337793530.7788,16409900599.1964,19723563354.6779,19239187083.5194,22210718401.0207,24322006607.9295
Marshall Islands,MHL,Population total,SP.POP.TOTL,47709,46529,45285,44007,42706,41367,40077,38827,37548
Marshall Islands,MHL,GDP (current US$),NY.GDP.MKTP.CD,201800000,213700000,220000000,232900000,241800000,258900000,253400000,259300000,280357844.229802
Mauritania,MRT,Population total,SP.POP.TOTL,4086657,4210600,4337685,4467708,4600131,4734874,4875637,5022441,5169395
Mauritania,MRT,GDP (current US$),NY.GDP.MKTP.CD,6398747592.13185,6800135898.28827,7473550557.07378,7894764885.82312,8260752385.23089,9222536364.01272,9557966698.25369,10651709314.1644,10766731873.5407
Mauritius,MUS,Population total,SP.POP.TOTL,1263747,1264887,1265577,1265985,1266014,1266334,1262523,1261041,1259509
Mauritius,MUS,GDP (current US$),NY.GDP.MKTP.CD,12594155464.4136,13713506130.6081,14735695930.9727,14436346979.6355,11408106446.3144,11484348857.8529,12907767789.5967,14101195732.6741,14952555414.8553
Mexico,MEX,Population total,SP.POP.TOTL,122251351,123400057,124573711,125762982,126799054,127648148,128613117,129739759,130861007
Mexico,MEX,GDP (current US$),NY.GDP.MKTP.CD,1112233497452.7,1190721475906,1256300182775.8,1304106203902.45,1121064767401.51,1316569466735.28,1466464899303.68,1793798859343.27,1852722885258.11
Micronesia Fed. Sts.,FSM,Population total,SP.POP.TOTL,109075,109481,109909,110282,110916,111624,112114,112630,113160
Micronesia Fed. Sts.,FSM,GDP (current US$),NY.GDP.MKTP.CD,325000000,359000000,392000000,394000000,372902690.041619,391601946.963072,415956896.458884,443916782.295594,471425099.488675
Moldova,MDA,Population total,SP.POP.TOTL,2803186,2755189,2707203,2664224,2635130,2595809,2528654,2457783,2389275
Moldova,MDA,GDP (current US$),NY.GDP.MKTP.CD,7980917075.7748,9514404016.20949,11252353420.8798,11736797054.6965,11530746234.4492,13691869264.0794,14525337523.7271,16711906746.2133,18200340853.6517
Monaco,MCO,Population total,SP.POP.TOTL,37276,37678,38154,38109,38050,38527,38931,38956,38631
Monaco,MCO,GDP (current US$),NY.GDP.MKTP.CD,6471290793.55029,6430254652.58934,7184333936.01355,7383496254.23721,6730736282.78961,8623242743.29564,8800430486.17137,9995350547.12166,..
Mongolia,MNG,Population total,SP.POP.TOTL,3088856,3148917,3208189,3267673,3327204,3383741,3433748,3481145,3524788
Mongolia,MNG,GDP (current US$),NY.GDP.MKTP.CD,11181350649.3573,11480847740.736,13178094720.4986,14206359017.5143,13312981429.0891,15286441737.6686,17146471713.748,20325121393.9074,23586055802.4517
Montenegro,MNE,Population total,SP.POP.TOTL,625353,625982,626438,626753,626590,625053,623591,623529,623831
Montenegro,MNE,GDP (current US$),NY.GDP.MKTP.CD,4376930578.32395,4856599480.79882,5506942238.35668,5542054181.12616,4769996866.00758,5861427505.12493,6229801580.79157,7530593375.22034,8069536125.80285
Morocco,MAR,Population total,SP.POP.TOTL,35023457,35446392,35839760,36210898,36584208,36954442,37329064,37712505,38081173
Morocco,MAR,GDP (current US$),NY.GDP.MKTP.CD,111572947004.917,118540573367.844,127341147581.818,128920266409.458,121353645057.144,142022058447.231,130951926351.241,144417103249.646,154430996472.752
Mozambique,MOZ,Population total,SP.POP.TOTL,27337105,28166393,29018644,29884380,30783688,31707800,32656246,33635160,34631766
Mozambique,MOZ,GDP (current US$),NY.GDP.MKTP.CD,12069051237.1711,13264640645.7768,15017358952.8452,15512759046.672,14235420174.1884,16168055475.4449,18883528581.3734,20954220983.5473,22416650343.4786
Myanmar,MMR,Population total,SP.POP.TOTL,51495696,51894938,52272247,52640713,53016522,53387102,53756787,54133798,54500091
Myanmar,MMR,GDP (current US$),NY.GDP.MKTP.CD,63298361996.2153,66053040483.0016,67860515989.517,75065106227.6892,79006113643.1906,66345291160.1683,62253049891.6449,66757619000,74079772652.4286
Namibia,NAM,Population total,SP.POP.TOTL,2439213,2506853,2577327,2650494,2728762,2810548,2889662,2963095,3030131
Namibia,NAM,GDP (current US$),NY.GDP.MKTP.CD,10722018732.0936,12895153370.9132,13682019076.4022,12541928303.48,10583748541.5258,12402486183.6396,12569449123.3661,12408271447.8691,13372354268.5446
Nauru,NRU,Population total,SP.POP.TOTL,11150,11324,11477,11587,11643,11709,11801,11875,11947
Nauru,NRU,GDP (current US$),NY.GDP.MKTP.CD,97276023.0784346,108862278.516511,130937589.753517,124871111.377973,124530027.301054,175513984.500084,152190818.868952,151455967.735319,160350639.549467
Nepal,NPL,Population total,SP.POP.TOTL,27955462,28011258,28079689,28414064,28966574,29475010,29715436,29694614,29651054
Nepal,NPL,GDP (current US$),NY.GDP.MKTP.CD,24524109483.5293,28971588940.364,33111525237.149,34186180699.0255,33433659301.2466,36924841394.2605,41182939600.6209,41047772331.0994,42914268286.7109
Netherlands,NLD,Population total,SP.POP.TOTL,17030314,17131296,17231624,17344874,17441500,17533044,17700982,17877117,17994237
Netherlands,NLD,GDP (current US$),NY.GDP.MKTP.CD,797163949289.885,848233537845.884,929733599796.862,928903005576.469,932560861701.17,1054472123449.6,1046540797548.64,1154361305398.06,1227543925316.41
New Caledonia,NCL,Population total,SP.POP.TOTL,283423,283546,283541,283606,284176,285214,287123,289870,292639
New Caledonia,NCL,GDP (current US$),NY.GDP.MKTP.CD,8724568954.89799,9174048681.98577,9896402283.68587,9475655324.59495,9454629467.91408,10071349663.8484,9623318718.31459,..,..
New Zealand,NZL,Population total,SP.POP.TOTL,4714100,4813600,4900600,4979200,5090200,5111300,5117100,5245000,5338500
New Zealand,NZL,GDP (current US$),NY.GDP.MKTP.CD,189100085275.23,206745969246.073,211985631173.205,213006341101.869,213029554653.687,253977931814.967,249509991440.438,255194972673.122,260235932558.996
Nicaragua,NIC,Population total,SP.POP.TOTL,6232666,6316231,6400080,6483657,6565267,6644741,6730654,6823613,6916140
Nicaragua,NIC,GDP (current US$),NY.GDP.MKTP.CD,13286093388.4752,13785893007.4769,13025221974.232,12699023614.245,12726422432.4868,14209020361.8508,15634572502.2294,17805842283.8725,19693982967.5926
Niger,NER,Population total,SP.POP.TOTL,20685753,21435446,22188069,22947757,23717613,24502140,25311973,26159867,27032412
Niger,NER,GDP (current US$),NY.GDP.MKTP.CD,10398861981.7583,11185104251.6943,12837307496.8821,12889555561.2299,13744653103.058,14915002436.069,15433852714.4935,16698786973.0228,19537639288.0633
Nigeria,NGA,Population total,SP.POP.TOTL,195443700,200254579,204938755,209485641,213996181,218529286,223150896,227882945,232679478
Nigeria,NGA,GDP (current US$),NY.GDP.MKTP.CD,404649125252.16,375745731053.427,421739251509.08,474517490844.461,432198898467.795,440833635873.827,477403400101.174,363846332834.618,187759703099.801
North Macedonia,MKD,Population total,SP.POP.TOTL,1906313,1898657,1889051,1876262,1856124,1837114,1831712,1827816,1792179
North Macedonia,MKD,GDP (current US$),NY.GDP.MKTP.CD,10672467073.2873,11307067069.6658,12683068114.2388,12606338448.547,12361036913.8409,14000283827.0154,13932436550.0883,15763604287.9867,16685236492.0675
Northern Mariana Islands,MNP,Population total,SP.POP.TOTL,50773,49959,49077,48129,47528,46979,46078,45143,44278
Northern Mariana Islands,MNP,GDP (current US$),NY.GDP.MKTP.CD,1230000000,1560000000,1301000000,1179000000,866000000,914000000,1096000000,..,..
Norway,NOR,Population total,SP.POP.TOTL,5234519,5276968,5311916,5347896,5379475,5408320,5457127,5519594,5572272
Norway,NOR,GDP (current US$),NY.GDP.MKTP.CD,370956547619.048,401745275035.261,439788625883.8,408742840909.091,367633418886.627,503367986030.268,596297651035.798,482949731776.587,483727398216.364
Oman,OMN,Population total,SP.POP.TOTL,4390877,4537396,4597877,4591241,4522497,4500424,4730226,5049269,5281538
Oman,OMN,GDP (current US$),NY.GDP.MKTP.CD,75128738621.5865,80856697009.1027,91505851755.5267,88060858257.4772,75909492847.8544,87323797139.1417,109852795838.752,105895708712.614,106942782834.85
Pakistan,PAK,Population total,SP.POP.TOTL,220138869,223273967,226928892,230800899,235001746,239477801,243700667,247504495,251269164
Pakistan,PAK,GDP (current US$),NY.GDP.MKTP.CD,313630000130.435,339205534861.1,356128166704.921,320909472770.669,300425609817.981,348516647445.148,374890295666.694,337885531778.052,373071855731.539
Palau,PLW,Population total,SP.POP.TOTL,17797,17812,17814,17798,17792,17783,17759,17727,17695
Palau,PLW,GDP (current US$),NY.GDP.MKTP.CD,298323500,285600000,288546300,281941600,258990800,235752900,255591100,281849100,..
Panama,PAN,Population total,SP.POP.TOTL,4029086,4098707,4167860,4234700,4293261,4345405,4400773,4458759,4515577
Panama,PAN,GDP (current US$),NY.GDP.MKTP.CD,59760858700,64327688800,67316471200,69778991200,57059846500,67396392500,76276116700,83318176900,86260400000
Papua New Guinea,PNG,Population total,SP.POP.TOTL,8961718,9178714,9394513,9609010,9815746,10012896,10203169,10389635,10576502
Papua New Guinea,PNG,GDP (current US$),NY.GDP.MKTP.CD,20758876952.6232,22742699138.356,24109780708.0268,24750626029.8777,23848447849.6081,26109413521.3117,31653185952.609,30816367066.9594,32538480023.9998
Paraguay,PRY,Population total,SP.POP.TOTL,6249126,6338660,6427382,6515058,6603739,6684182,6760464,6844146,6929153
Paraguay,PRY,GDP (current US$),NY.GDP.MKTP.CD,36089700222.9461,38997129473.5558,40225448340.6322,37925338329.1494,35432178068.1814,39950899938.7482,41952910858.088,43118053174.5413,44458118399.6669
Peru,PER,Population total,SP.POP.TOTL,30866494,31324637,31897584,32449303,32838579,33155882,33475438,33845617,34217848
Peru,PER,GDP (current US$),NY.GDP.MKTP.CD,191898104390.379,211007984080.911,222597009739.235,228346006003.648,201409694755.934,226328766459.634,246065570308.155,266958720837.988,289221969059.853
Philippines,PHL,Population total,SP.POP.TOTL,106735719,108119693,109465287,110804683,112081264,113100950,113964338,114891199,115843670
Philippines,PHL,GDP (current US$),NY.GDP.MKTP.CD,318627003016.731,328480736802.76,346841896587.313,376823402239.136,361751145451.597,394087359848.11,404353369604.631,437055627244.424,461617509782.355
Poland,POL,Population total,SP.POP.TOTL,37970087,37974826,37974750,37965475,37515748,36981559,36821749,36687353,36554707
Poland,POL,GDP (current US$),NY.GDP.MKTP.CD,473259623976.262,528356723263.073,594616632477.019,602683770144.88,605914186117.953,689170171187.004,695607522884.822,812451128978.58,914696430325.391
Portugal,PRT,Population total,SP.POP.TOTL,10325452,10300300,10283822,10286263,10297081,10361831,10434332,10578174,10701636
Portugal,PRT,GDP (current US$),NY.GDP.MKTP.CD,206305431241.638,220862990767.229,242092894542.888,240115970063.019,229618773422.577,256055879091.139,256898675068.927,289696962620.235,308683317392.68
Puerto Rico (US),PRI,Population total,SP.POP.TOTL,3480432,3410837,3290690,3302691,3281590,3262711,3220137,3203792,3203295
Puerto Rico (US),PRI,GDP (current US$),NY.GDP.MKTP.CD,104336700000,103445526000,100958100000,105126400000,103130900000,106426600000,113843700000,118375000000,125841500000
Qatar,QAT,Population total,SP.POP.TOTL,2477113,2545820,2580734,2638657,2794148,2504910,2657333,2656032,2857822
Qatar,QAT,GDP (current US$),NY.GDP.MKTP.CD,151732181868.132,161099122225.275,183334953818.681,176371267692.308,144411363351.648,179732009560.44,235709325714.286,213002809340.659,217982967032.967
Romania,ROU,Population total,SP.POP.TOTL,19702267,19588715,19473970,19371648,19265250,19122059,19048502,19059479,19069340
Romania,ROU,GDP (current US$),NY.GDP.MKTP.CD,185290759248.844,210147385855.419,243468683030.34,251677082534.495,252033792712.145,286578196368.297,296354358293.475,350775856415.189,382767571329.158
Russian Federation,RUS,Population total,SP.POP.TOTL,145015460,145293260,145398106,145453291,145245148,144746762,144236933,143826130,143533851
Russian Federation,RUS,GDP (current US$),NY.GDP.MKTP.CD,1276786350881.14,1574199360089,1657328773461.31,1693115002708.32,1493075894362.14,1829186719575.1,2291612121334.64,2071505725030.58,2173835806671.66
Rwanda,RWA,Population total,SP.POP.TOTL,11919183,12202060,12487996,12776103,13065837,13355260,13651030,13954471,14256567
Rwanda,RWA,GDP (current US$),NY.GDP.MKTP.CD,8695272060.67925,9252833894.1905,9637904518.99702,10349300276.7623,10174386854.812,11078787095.1791,13316161005.7244,14331722700.3249,14251642231.4932
Samoa,WSM,Population total,SP.POP.TOTL,203499,205415,207582,209780,211944,213779,215261,216663,218019
Samoa,WSM,GDP (current US$),NY.GDP.MKTP.CD,843924796.697421,884844384.463214,878448433.404342,912950466.064906,868898358.266437,843923638.733018,832945205.637185,938189443.830393,1068025243.63929
San Marino,SMR,Population total,SP.POP.TOTL,33101,33825,34522,34663,34770,34252,33755,33860,33977
San Marino,SMR,GDP (current US$),NY.GDP.MKTP.CD,1468343139.74326,1528620346.31168,1655353653.05934,1616232125.12587,1544714493.24409,1855395999.76534,1831700577.08904,..,..
Sao Tome and Principe,STP,Population total,SP.POP.TOTL,203689,206970,210187,213392,217435,221961,226305,230871,235536
Sao Tome and Principe,STP,GDP (current US$),NY.GDP.MKTP.CD,292267272.196925,322002845.229335,383717327.830508,412976082.620705,471229484.607144,524402455.54816,540809499.189348,678976264.835436,764274042.735043
Saudi Arabia,SAU,Population total,SP.POP.TOTL,30954198,30977355,30196281,30063799,31552510,30784383,32175224,33702731,35300280
Saudi Arabia,SAU,GDP (current US$),NY.GDP.MKTP.CD,689279466666.667,741266133333.333,886564800000,888890133333.333,767951200000,982661066666.667,1239075200000,1218584533333.33,1237529866666.67
Senegal,SEN,Population total,SP.POP.TOTL,15034521,15475002,15914498,16352922,16789219,17220867,17651103,18077573,18501984
Senegal,SEN,GDP (current US$),NY.GDP.MKTP.CD,19040312333.1864,20996562943.5979,23116701556.1381,23403995992.1354,24530513037.7518,27520784129.7508,27783332222.6759,30696331295.7826,32267254425.052
Serbia,SRB,Population total,SP.POP.TOTL,7058322,7020858,6982604,6945235,6899126,6834326,6664449,6623183,6587202
Serbia,SRB,GDP (current US$),NY.GDP.MKTP.CD,42225495909.5633,45972834713.8077,52787520248.9242,53864693664.5568,55874017668.998,66159884072.5308,66797564758.339,81342660752.3732,89083506277.2344
Seychelles,SYC,Population total,SP.POP.TOTL,94677,95843,96762,97625,98462,99258,119878,119773,121354
Seychelles,SYC,GDP (current US$),NY.GDP.MKTP.CD,1568513348.14463,1675370641.01416,1784313926.76807,1868690096.73454,1382551751.56908,1487173794.80528,2018346588.73752,2187379754.66167,2167239562.46013
Sierra Leone,SLE,Population total,SP.POP.TOTL,7205328,7379299,7554563,7731991,7912558,8094602,8276807,8460512,8642022
Sierra Leone,SLE,GDP (current US$),NY.GDP.MKTP.CD,6084297211.10217,5749846528.48046,6390514688.52816,6526183564.19893,6693888876.28565,7173379137.26091,7124465159.65304,6411787856.06581,7547843281.27425
Singapore,SGP,Population total,SP.POP.TOTL,5607283,5612253,5638676,5703569,5685807,5453566,5637022,5917648,6036860
Singapore,SGP,GDP (current US$),NY.GDP.MKTP.CD,319646468521.497,343673334902.33,377123710560.614,376161998830.048,349165858544.568,436591382250.464,509017841146.557,505439514078.019,547386645891.847
Sint Maarten (Dutch part),SXM,Population total,SP.POP.TOTL,38249,38996,39712,40385,41008,41571,42139,42749,43350
Sint Maarten (Dutch part),SXM,GDP (current US$),NY.GDP.MKTP.CD,1427017206.70391,1353212122.90503,1259200446.92737,1407880446.92737,1236428100.55866,1353071061.45251,1537088715.0838,1627776949.27374,1735210227.92581
Slovak Republic,SVK,Population total,SP.POP.TOTL,5430798,5439232,5446771,5454147,5458827,5447247,5431752,5426740,5422069
Slovak Republic,SVK,GDP (current US$),NY.GDP.MKTP.CD,90347173228.6356,95978130734.9766,106611673364.837,105843498304.094,107732602896.441,120560912620.599,115884262197.697,133896931490.224,141775733420.114
Slovenia,SVN,Population total,SP.POP.TOTL,2065042,2066388,2073894,2088385,2102419,2108079,2112076,2120461,2126324
