Country Name,Country Code,Series Name,Series Code,2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024]
Benin,BEN,Population total,SP.POP.TOTL,11697842,12039780,12383347,12726755,13070169,13413417,13759501,14111034,14462724
Benin,BEN,GDP (current US$),NY.GDP.MKTP.CD,11821065853.3838,12701655836.9467,14262408089.9261,14391686313.4641,15686741893.5187,17687623534.6665,17425405083.8797,19673290995.8491,21482643720.2743
Bermuda,BMU,Population total,SP.POP.TOTL,63449,63578,63831,64107,64382,64648,64749,64698,64636
Bermuda,BMU,GDP (current US$),NY.GDP.MKTP.CD,6899911000,7142316000,7225977000,7423465000,6887364000,7290037000,7874381000,8579242000,8980200000
Bhutan,BTN,Population total,SP.POP.TOTL,747866,754335,759759,764824,770006,775442,780914,786385,791524
Bhutan,BTN,GDP (current US$),NY.GDP.MKTP.CD,2357504760.78592,2591358009.20276,2583335721.85904,2735683570.46155,2457604333.90927,2768802960.11204,2898227743.75576,3019253885.46989,..
Bolivia,BOL,Population total,SP.POP.TOTL,11180020,11344587,11508368,11671386,11816299,11937360,12077154,12244159,12413315
Bolivia,BOL,GDP (current US$),NY.GDP.MKTP.CD,33941126193.9219,37508642170.767,40287647930.5355,40895322850.9407,36629843806.0781,40406111693.1983,44008282879.8842,45135398002.8944,49668296743.8495
Bosnia and Herzegovina,BIH,Population total,SP.POP.TOTL,3473003,3428682,3387000,3345533,3299349,3244907,3204802,3185073,3164253
Bosnia and Herzegovina,BIH,GDP (current US$),NY.GDP.MKTP.CD,17116926327.6247,18326373366.1105,20484053868.9246,20482608755.379,20226036564.4129,23672712242.2149,24534663636.1778,27592361387.8597,28343394203.4694
Botswana,BWA,Population total,SP.POP.TOTL,2234776,2266747,2299141,2332083,2365894,2401441,2439892,2480244,2521139
Botswana,BWA,GDP (current US$),NY.GDP.MKTP.CD,15082637184.0496,16105155856.7708,17031943186.1353,16725908148.5481,14960251610.8975,18750182234.5317,20321150598.0672,19411266967.1044,19400774882.4495
Brazil,BRA,Population total,SP.POP.TOTL,203218114,204703445,206107261,207455459,208660842,209550294,210306415,211140729,211998573
Brazil,BRA,GDP (current US$),NY.GDP.MKTP.CD,1795693482853.01,2063514977365.65,1916933898010.99,1873288205059.69,1476107231310.49,1670647398904.9,1951923942083.32,2191131765684.63,2179412080828.59
British Virgin Islands,VGB,Population total,SP.POP.TOTL,33878,32699,34657,36395,37135,37809,38319,38985,39471
British Virgin Islands,VGB,GDP (current US$),NY.GDP.MKTP.CD,..,..,..,..,..,..,..,..,..
Brunei Darussalam,BRN,Population total,SP.POP.TOTL,427564,432772,437810,442680,447404,451721,455370,458949,462721
Brunei Darussalam,BRN,GDP (current US$),NY.GDP.MKTP.CD,11400266055.3232,12128168046.7827,13566908401.1864,13469235348.2211,12005799664.2691,14006496614.3195,16681536442.5498,15095084686.1651,15463134387.2013
Bulgaria,BGR,Population total,SP.POP.TOTL,6894139,6803468,6710798,6616726,6550696,6507301,6465097,6446596,6444366
Bulgaria,BGR,GDP (current US$),NY.GDP.MKTP.CD,53929397039.2106,59167647387.606,66251582035.9412,68634004792.1,70550652466.6251,84414122840.1687,90509236929.2237,102396840296.147,112211952703.831
Burkina Faso,BFA,Population total,SP.POP.TOTL,19334856,19894407,20438288,20961952,21478690,21995243,22509038,23025776,23548781
Burkina Faso,BFA,GDP (current US$),NY.GDP.MKTP.CD,12833363045.3367,14106955615.3442,15890066221.2882,16032813503.3707,17725010532.5268,19697516284.3787,18820218690.5948,20324617844.5265,23250214909.5391
Burundi,BDI,Population total,SP.POP.TOTL,11239451,11506762,11859446,12255336,12617036,12965481,13321097,13689450,14047786
Burundi,BDI,GDP (current US$),NY.GDP.MKTP.CD,2644487776.50077,2723586962.84034,2667182199.51333,2576518879.82353,2649680261.44299,2775798697.46022,3338722827.65691,2629391599.50157,2162378759.3467
Cabo Verde,CPV,Population total,SP.POP.TOTL,512554,512893,513415,514104,514679,516649,519741,522331,524877
Cabo Verde,CPV,GDP (current US$),NY.GDP.MKTP.CD,1849789985.99572,1996741539.95088,2205099506.99994,2252177124.32402,1821565613.68613,2051842618.70539,2247003344.34242,2539203428.73837,2767599017.44874
Cambodia,KHM,Population total,SP.POP.TOTL,15852803,16073372,16274522,16481304,16725474,16974305,17201724,17423880,17638801
Cambodia,KHM,GDP (current US$),NY.GDP.MKTP.CD,26556545153.3573,29355665909.7905,33145892168.8958,36685356407.7206,34818073901.4851,36790163687.4421,39994532959.6074,42335646895.7984,46352647034.7775
Cameroon,CMR,Population total,SP.POP.TOTL,23454161,24128601,24806383,25506095,26210558,26915758,27632771,28372687,29123744
Cameroon,CMR,GDP (current US$),NY.GDP.MKTP.CD,33814337044.3765,36098547033.1655,39955552189.795,39667757527.6578,40773241177.0505,45011937346.8384,44347206072.5513,49279410982.826,51326764684.8595
Canada,CAN,Population total,SP.POP.TOTL,36110803,36545075,37072620,37618495,38028638,38239864,38935934,40083484,41288599
Canada,CAN,GDP (current US$),NY.GDP.MKTP.CD,1527994741907.43,1649265644244.09,1725329192783.02,1743725183672.52,1655684730000.19,2022378748423.23,2190411080134.32,2173339670064.33,2241253230970.34
Cayman Islands,CYM,Population total,SP.POP.TOTL,63100,64535,65941,67327,68684,70108,71591,73038,74457
Cayman Islands,CYM,GDP (current US$),NY.GDP.MKTP.CD,4909322237.28895,5166281305.12522,5530178440.71376,5941896607.58643,5655358021.43209,6060026520.10608,6600843963.37585,7139428557.71423,..
Central African Republic,CAF,Population total,SP.POP.TOTL,4713663,4793511,4878657,4944703,5026628,5112100,5098039,5152421,5330690
Central African Republic,CAF,GDP (current US$),NY.GDP.MKTP.CD,1825018144.65595,2072349972.6818,2220979146.11241,2221301351.43918,2326720900.38047,2516498412.46384,2382618615.01694,2555492085.94725,2751544520.37918
Chad,TCD,Population total,SP.POP.TOTL,15114655,15622759,16156531,16685223,17224679,17828273,18455316,19319064,20299123
Chad,TCD,GDP (current US$),NY.GDP.MKTP.CD,13026289835.7789,13349041408.7152,15327000248.8701,14905517742.8454,14932897821.2387,16871937697.5854,17828508289.6049,19107685020.89,20625711664.6472
Channel Islands,CHI,Population total,SP.POP.TOTL,163883,164319,164949,165639,166235,166741,167215,167691,168126
Channel Islands,CHI,GDP (current US$),NY.GDP.MKTP.CD,9169278152.84904,9170079922.77992,10026153281.7503,10032440898.6469,9439810769.23077,11157003025.7186,11308300382.1028,12507927159.7265,..
Chile,CHL,Population total,SP.POP.TOTL,18267221,18558868,18893191,19197744,19370624,19456334,19553036,19658835,19764771
Chile,CHL,GDP (current US$),NY.GDP.MKTP.CD,249344863928.438,276154259981.097,295857562991.709,278285058719.466,254042159309.311,315325547162.072,301226575540.242,335518054097.637,330267137371.592
China,CHN,Population total,SP.POP.TOTL,1387790000,1396215000,1402760000,1407745000,1411100000,1412360000,1412175000,1410710000,1408975000
China,CHN,GDP (current US$),NY.GDP.MKTP.CD,11456024084962,12537559062282.9,14147765772963.8,14560167101283.4,14996414166715.1,18201698719564,18316765021690.2,18270356654533.2,18743803170827.2
Colombia,COL,Population total,SP.POP.TOTL,47437512,48131078,49024465,49907985,50629997,51188173,51737944,52321152,52886363
Colombia,COL,GDP (current US$),NY.GDP.MKTP.CD,282720100286.228,311866875156.879,334198218098.276,323031701192.84,270348342541.465,318524633225.395,345632492851.448,366291836137.916,418542042920.189
Comoros,COM,Population total,SP.POP.TOTL,741741,756669,771590,786578,802163,818174,834188,850387,866628
Comoros,COM,GDP (current US$),NY.GDP.MKTP.CD,1012835492.51575,1077439756.12221,1188797449.96029,1195019531.03664,1225039195.93742,1299039311.76025,1279542248.45017,1430523435.81695,1546164420.32442
