iso_partner,partner_jurisdiction,tax_gained_bn,tax_lost_bn,net_tax_revenue_bn
BEL,Belgium,1.0934974585091013,73.282403813355,-72.1889063548459
DEU,Germany,2.997472323601638,64.34971993331364,-61.352247609711995
FRA,France,2.2442138417061277,58.376832503215596,-56.13261866150947
ESP,Spain,1.6535300599002996,32.803688727753546,-31.150158667853248
POL,Poland,0.8897283430486698,15.919235805678762,-15.029507462630091
NLD,Netherlands,10.15786794016406,18.82999369762112,-8.67212575745706
ROU,Romania,0.09390062230649329,8.297972963840927,-8.204072341534433
ITA,Italy,4.034515946473407,10.864404284317775,-6.829888337844368
AUT,Austria,1.343550077221475,7.6977929580338165,-6.3542428808123415
IRL,Ireland,3.445913674906281,8.28953234254247,-4.843618667636189
PRT,Portugal,0.6874606691445452,5.474138798102788,-4.786678128958243
CZE,Czechia,0.8340046205051694,4.414778079587823,-3.5807734590826534
LUX,Luxembourg,1.9214741761258056,5.368077228317961,-3.446603052192156
SVK,Slovak Republic,0.20475055355748298,3.5083387760689515,-3.3035882225114683
EST,Estonia,0.05057704558226847,2.893187509655882,-2.842610464073614
CYP,Cyprus,0.028673632755688072,2.711932632845702,-2.683259000090014
GRC,Greece,0.4877564514039494,3.0009883805892437,-2.5132319291852943
FIN,Finland,1.0871764507380364,3.2536283523145544,-2.166451901576518
HUN,Hungary,0.24832681863317801,1.7549217518298605,-1.5065949331966826
LTU,Lithuania,0.06782292777241597,1.2918915976821397,-1.2240686699097236
SVN,Slovenia,0.06760833343040203,0.9649665073325693,-0.8973581739021672
SWE,Sweden,5.503253298063676,6.206119333553725,-0.7028660354900493
LVA,Latvia,0.2153389220046637,0.8475344704313665,-0.6321955484267028
BGR,Bulgaria,0.11212699745053578,0.4507925574132721,-0.33866555996273634
HRV,Croatia,1.1502365592161916,1.2015398454174924,-0.05130328620130076
MLT,Malta,0.6300098272014201,0.07092061802369086,0.5590892091777292
DNK,Denmark,6.770541918424831,2.4037072498686434,4.366834668556187
