iso_partner,partner_jurisdiction,total_net_misalignment_musd,group
BEL,Belgium,-228790.1812541662,benefits_from_ut
DEU,Germany,-162541.00587033367,benefits_from_ut
FRA,France,-145669.63377481117,benefits_from_ut
ESP,Spain,-99158.04421634282,benefits_from_ut
POL,Poland,-73375.22265641348,benefits_from_ut
ROU,Romania,-49326.44607654024,benefits_from_ut
CYP,Cyprus,-19078.06409066481,benefits_from_ut
HUN,Hungary,-13701.617066668266,benefits_from_ut
EST,Estonia,-13206.91968987984,benefits_from_ut
SVK,Slovak Republic,-11557.137396398402,benefits_from_ut
CZE,Czechia,-8921.305567630772,benefits_from_ut
AUT,Austria,-8570.11585082184,benefits_from_ut
LTU,Lithuania,-7490.8549767398135,benefits_from_ut
PRT,Portugal,-6383.797753056431,benefits_from_ut
GRC,Greece,-4504.756690804222,benefits_from_ut
SVN,Slovenia,-4341.373737042834,benefits_from_ut
BGR,Bulgaria,-1834.0679247914395,benefits_from_ut
IRL,Ireland,215.92247772861447,loses_under_ut
LVA,Latvia,2246.115692667952,loses_under_ut
HRV,Croatia,5310.983258067337,loses_under_ut
FIN,Finland,6413.633406696101,loses_under_ut
ITA,Italy,12004.673632255683,loses_under_ut
MLT,Malta,32756.583437562236,loses_under_ut
SWE,Sweden,108499.86120988907,loses_under_ut
LUX,Luxembourg,109650.58673682298,loses_under_ut
DNK,Denmark,132507.7677794677,loses_under_ut
NLD,Netherlands,160023.93635498427,loses_under_ut
